volcanoLabel;location
Ла-Малинче;Point(-98.03194444 19.23083333)
Бренништайнсфьюдл;Point(-21.833333333 63.916666666)
Puy Griou;Point(2.70611 45.0803)
Серро-Соло;Point(-68.716666666 -27.108333333)
Mount Serua;Point(130.0 -6.3)
Mount Tateshina;Point(138.29586 36.10421)
Lastarria;Point(-68.5 -25.166666666)
Бееренберг;Point(-8.155880555 71.079666666)
Центральный;Point(36.05 3.5)
Момотомбо;Point(-86.538577 12.424312)
Mentolat;Point(-73.075833333 -44.696666666)
Makian;Point(127.366666666 0.333333333)
Берутарубе;Point(146.93163 44.46131)
Гунунг Мербабу;Point(110.44 -7.455)
Аршан (вулканическое поле);Point(120.7 47.5)
Анкаратра;Point(47.243341666 -19.349777777)
остров Атласова;Point(155.566666666 50.866666666)
Кливленд;Point(-169.945 52.822222222)
Бам (остров);Point(144.816666666 -3.616666666)
Mount Tateshina;Point(138.295 36.103611111)
Macizo de Teno;Point(-16.85 28.3)
Банда Апи;Point(129.871388888 -4.525)
Нижняя Донгнай;Point(107.2 10.8)
Тупунгатито;Point(-69.798055555 -33.423888888)
Бабуян Кларо;Point(121.94 19.523333333)
Осорно;Point(-72.493055555 -41.1)
Багабаг;Point(146.233333333 -4.8)
Джебель ат-Тайр;Point(41.83 15.54)
Вулкан Баранского;Point(148.015555555 45.103333333)
Таапака;Point(-69.5 -18.1)
Тарумаэ;Point(141.378055555 42.69)
Agnano;Point(14.14972222 40.84472222)
Рано-Рараку;Point(-109.286111111 -27.123888888)
Ньямлагира;Point(29.2 -1.408333333)
Чумэтул-Маре;Point(25.88 46.13)
Антуко (вулкан);Point(-71.351111111 -37.41)
Бенталь (гора);Point(35.782777777 33.129166666)
Балуан;Point(147.283333333 -2.55)
Бандай;Point(140.072222222 37.600833333)
Чупикинья;Point(-69.8 -17.666666666)
Остров Анциферова;Point(154.983333333 50.2)
Серро Браво;Point(-75.292222222 5.089166666)
Исалько;Point(-89.633333333 13.813055555)
Ардоукоба;Point(42.495833333 11.571944444)
Cay;Point(-72.98583333 -45.0625)
Харра Бал Хаф;Point(48.333333333 14.05)
Попоманасеу;Point(160.061944444 -9.703611111)
Capelinhos;Point(-28.831569444 38.601322222)
Q1055937;Point(-67.415555555 -22.260833333)
Ивате;Point(141.00111111 39.8525)
San Antonio;Point(-17.848244444 28.485919444)
Пику;Point(-28.40095 38.467271)
Пинта;Point(-90.753588888 0.5833)
Harrat Lunayyir;Point(37.75 25.17)
Пуйеуэ;Point(-72.117222222 -40.590277777)
Авачинская Сопка;Point(158.832777777 53.255)
Новарупта;Point(-155.156666666 58.266666666)
Хаконе;Point(139.023888888 35.23)
Авачинская Сопка;Point(158.833333333 53.255555555)
Рабида;Point(-90.709 -0.413)
Консепсьон;Point(-85.616666666 11.533333333)
Cerro Verde;Point(-89.62333333 13.82722222)
Бриджман;Point(-56.733333333 -62.066666666)
Камигин;Point(121.86 18.83333333)
Остров Анциферова;Point(154.981388888 50.200555555)
Альгид;Point(12.7786 41.7267)
Пику;Point(-28.399166666 38.468611111)
Бенталь (гора);Point(35.7856 33.1281)
Берутарубе;Point(146.927222222 44.475)
Cerro Verde;Point(-89.625277777 13.827777777)
Гроджин;Point(16.333344444 50.4142)
Флореана;Point(-90.434166666 -1.2975)
Майпо;Point(-69.832777777 -34.160555555)
Бисоке;Point(29.448333333 -1.511111111)
Остров Броутона;Point(150.733333333 46.716666666)
Silay;Point(123.23333333 10.76666667)
Кальбуко;Point(-72.611111111 -41.332777777)
Mount Chōkai;Point(140.048888888 39.099166666)
Ундзэн;Point(130.298694 32.761342)
Поас;Point(-84.2302979 10.1978153)
Окмок;Point(-168.13 53.43)
Дескабесадо-Гранде;Point(-70.75 -35.583333333)
Ndete Napu;Point(121.78 -8.72)
Randecker Maar;Point(9.523 48.5742)
Серро-Байо;Point(-68.583333333 -25.416666666)
Juriques;Point(-67.824722222 -22.845277777)
Вулкан Заварицкого;Point(151.95 46.916666666)
Тенегия;Point(-17.85166667 28.47333333)
Такора;Point(-69.766666666 -17.716666666)
Nuevo Mundo volcano;Point(-66.478333333 -19.774166666)
Keluo;Point(125.92 49.37)
Нантай;Point(139.493888888 36.761944444)
Сан-Педро;Point(-91.2659 14.6559)
Фонуалеи;Point(-174.325 -18.024)
Осореяма;Point(141.12 41.279)
"Mount Victoria; Auckland";Point(174.799 -36.8266)
Гренсдалюр;Point(-21.190626 64.04649)
Hornopirén;Point(-72.431388888 -41.874444444)
Juriques;Point(-67.8392 -22.8475)
Hrafnabjörg;Point(-20.921597 64.272593)
Пинсон;Point(-90.65 -0.6)
Мармолехо;Point(-69.864514 -33.717129)
Яте;Point(-72.400277777 -41.758888888)
Mont Marion-Dufresne;Point(52.256944444 -46.416388888)
Инкауаси;Point(-68.3 -27.033333333)
Ирасу;Point(-83.8525 9.979166666)
Торфаёкюдль;Point(-19.009708333 63.881544444)
Босави;Point(142.826666666 -6.614166666)
Невадо-Сан-Франциско;Point(-68.263055555 -26.918333333)
Канталь (горный массив);Point(2.67611 45.10944)
Ябука;Point(15.460098888 43.091813888)
Caldeira das Sete Cidades;Point(-25.786166666 37.855194444)
Онтаке;Point(137.480277777 35.892777777)
Mount Parker;Point(124.88972222 6.11416667)
Q1945827;Point(-110.95 18.78)
Keluo;Point(125.90972222 49.38)
"Mount Victoria; Auckland";Point(174.79889 -36.82639)
Козыревка;Point(158.383333333 55.583333333)
Пурасе;Point(-76.394166666 2.314166666)
Svartsengi;Point(-22.44816 63.87766)
Арамуака;Point(-88.105 13.428055555)
Mount Isarog;Point(123.373333333 13.659166666)
Дайсецудзан (хребет);Point(142.85 43.65)
Такана;Point(-92.1058 15.1334)
Килотоа;Point(-78.897286111 -0.861194444)
Лате;Point(-174.65 -18.8)
Келимуту;Point(121.82 -8.77)
Mount Tehama;Point(-121.559427777 40.445436111)
Алседо;Point(-91.109104 -0.396583)
Мехетиа;Point(-148.066666666 -17.866666666)
Mount Mézenc;Point(4.195 44.91111111)
Ханиш;Point(42.75 13.75)
Агуа;Point(-90.742777777 14.465)
Тау;Point(-170.72806 -14.31778)
Яте;Point(-72.396388888 -41.754722222)
Пуа-Катики;Point(-109.25505 -27.105322222)
Гауа;Point(167.516388888 -14.283055555)
Серро-Эль-Муэрто;Point(-68.483888888 -27.0575)
Лопеви;Point(168.5 -16.833333333)
Кумбаль;Point(-77.883333333 0.955833333)
Rarotonga / Mount Smart;Point(174.8125 -36.918333333)
Рога Хаттина;Point(35.459722222 32.799722222)
Mount Sirung;Point(124.133333333 -8.516666666)
Q1436026;Point(81.64972222 35.70111111)
Quetrupillán;Point(-71.7 -39.5)
Братан;Point(115.133333333 -8.283333333)
Kuwae;Point(168.536111111 -16.829166666)
Патомский кратер;Point(116.58944444 59.28472222)
Mount Mikeno;Point(29.41681722 -1.46276833)
Хенгидль;Point(-21.313611111 64.085555555)
Нуси-Бе;Point(48.2675 -13.315)
Пантеллерия;Point(12.0 36.783333333)
Офу-Олосега;Point(-169.616666666 -14.166666666)
Grímsnes;Point(-20.889444444 64.036666666)
Putauaki;Point(176.8 -38.1)
Окмок;Point(-168.166111111 53.396944444)
Горелый;Point(158.033333333 52.558333333)
Newer Volcanics Province;Point(142.5 -37.77)
Morne Watt;Point(-61.305 15.307)
Нантай;Point(139.48741 36.768)
Сан-Феликс;Point(-80.0833 -26.2986)
Сокорро;Point(-110.975 18.784444444)
Рангитото;Point(174.860115 -36.786742)
Толиман;Point(-91.189166666 14.6125)
Caldeira das Sete Cidades;Point(-25.78 37.87)
Вольф;Point(-91.333333333 0.033333333)
Сан-Педро;Point(-91.265833333 14.655833333)
Крайний;Point(159.033333333 56.366666666)
Вулькано;Point(14.962 38.404)
Марчена;Point(-90.5 0.35)
Масарага;Point(123.6 13.310277777)
Керлингарфьёдль;Point(-19.25 64.65)
Гауа;Point(167.517 -14.2839)
Бней-Расан;Point(35.833888888 33.081944444)
Вулкан Татаринова;Point(155.45 50.3)
Longgang volcano group;Point(126.5 42.33333333)
Сурибати;Point(141.287783333 24.749030555)
Вулкан Креницына;Point(154.705277777 49.353055555)
Монт-Росс;Point(69.5 -49.6)
Chaos Crags;Point(-121.521111111 40.524166666)
Талакмау;Point(99.983333333 0.079166666)
Моханда;Point(-78.27 0.13)
Riang Kotang;Point(122.892 -8.3)
Гунтур;Point(107.839722222 -7.143333333)
Mount Sempu;Point(124.758 1.13)
Вулкан Геодезистов;Point(158.68 56.333888888)
Азул;Point(-83.868888888 12.528888888)
Федотыч;Point(160.4 57.133333333)
Crête de la Novara;Point(77.52224 -38.71341)
Pico Birigoyo;Point(-17.8408747 28.6049295)
Чикурачки;Point(155.461666666 50.321666666)
Geysir geothermal field;Point(-20.2999 64.3167)
Cayutue-La Vigueria;Point(-72.27 -41.25)
Iliwerung;Point(123.57 -8.53)
Volcán Huequi;Point(-72.578055555 -42.376666666)
Брава;Point(-24.716666666 14.85)
Q2861446;Point(-67.9875 -24.416944)
Wolo Inelika;Point(120.98 -8.73)
Сан-Хосе;Point(-69.897222222 -33.781666666)
Dofan;Point(40.13194444 9.34444444)
Агуас-Кальентес (вулкан);Point(-67.685 -23.368333333)
Karaha Crater;Point(108.08 -7.12)
Вулкан Смирнова;Point(146.134722222 44.419722222)
Варда;Point(35.788888888 33.211111111)
Poco Leok;Point(120.48 -8.68)
Вулкан Менделеева;Point(145.736111111 43.976388888)
Хермонит;Point(35.793611111 33.185277777)
Ata volcano;Point(-68.576111111 -27.181944444)
Кунтоминтар;Point(154.014444444 48.758055555)
Q2144882;Point(120.225 -10.121667)
Salín;Point(-68.0639 -24.3317)
Wai Sano;Point(120.0166667 -8.71666667)
Ильинская Сопка;Point(157.2 51.49)
Хакусан;Point(136.5 36.1)
Вулкан W;Point(179.18333333 -31.85)
Азул;Point(-83.95888889 12.55305556)
Сотара;Point(-76.591944444 2.108055555)
Q2933737;Point(-71.0 -37.85)
Авиталь;Point(35.788888888 33.115)
Callaqui;Point(-71.45 -37.916666666)
Crête de la Novara;Point(77.52 -38.715)
Большой Паялпан;Point(157.75 55.833333333)
Иктунуп;Point(160.75 58.083333333)
"Апи (вулкан; остров Сангеанг)";Point(119.05 -8.18)
Purchas Hill;Point(174.847476 -36.887138)
Iliwerung;Point(123.573333333 -8.532222222)
Volcán Huequi;Point(-72.57472 -42.36333)
Tristan da Cunha;Point(-12.2875 -37.11111111)
Санто-Томас;Point(-91.478611111 14.710277777)
Albert Park Volcano;Point(174.767263 -36.848585)
Вулкан W;Point(-179.183333333 -31.85)
Tshibinda;Point(28.7442 -2.3083)
Удокан;Point(117.77 56.28)
Wudalianchi;Point(126.12 48.71666667)
Ciguatepe;Point(-86.142 12.53)
Минчинмавида;Point(-72.445833333 -42.799166666)
Кудрявый;Point(148.81647 45.38494)
Leroboleng;Point(122.842 -8.358)
Большая Ипелька;Point(156.9725 52.663333333)
Iyang-Argapura;Point(113.57 -7.97)
Волкан-де-лос-Патос;Point(-68.808888888 -27.301111111)
Вулкан Дарвина;Point(-91.283333333 -0.183333333)
Santa Isabel;Point(-75.36666667 4.81666667)
Вулкан Перетолчина;Point(99.034722222 52.719166666)
Синарка;Point(154.180833333 48.873888888)
Pico Birigoyo;Point(-17.841111111 28.605)
Ata volcano;Point(-68.5762 -27.1819)
Kamojang;Point(107.8 -7.125)
Banne d'Ordanche;Point(2.77278 45.6108)
Перес;Point(35.863888888 32.959444444)
Аждаак;Point(44.947255555 40.225761111)
Poco Ranaka;Point(120.516666666 -8.633333333)
Текуамбурро;Point(-90.406944444 14.156111111)
Rodderberg;Point(7.198333333 50.6425)
El Totumo;Point(-75.24140278 10.74447222)
Тункинская котловина;Point(102.5 51.5)
Май-я-Мото;Point(29.333333333 -0.933333333)
Suchitan;Point(-89.78 14.333333333)
Tshibinda;Point(28.75 -2.316666666)
Вулкан Головнина;Point(145.505555555 43.843055555)
Cerro Singüil;Point(-89.6315 14.053)
Wayang-Windu;Point(107.63 -7.208)
Кайленэй;Point(160.666666666 57.8)
Mount Belinda;Point(-26.33333333 -58.43333333)
Демон;Point(148.8603 45.5014)
Malang Plain;Point(112.68 -8.02)
Атликскос;Point(-96.526388888 19.808888888)
Сан-Педро;Point(-68.39166667 -21.8875)
Хангар;Point(157.366666666 54.75)
volcanoes of the Leizhou Peninsula;Point(110.16666667 20.5)
Чирип;Point(147.912222222 45.377222222)
Citerne;Point(-61.657 16.0334)
Дуконо;Point(127.878105 1.699505)
Кудрявый;Point(148.813055555 45.383888888)
Анак-Кракатау;Point(105.423055555 -6.101944444)
Cerro Tujle;Point(-67.9515 -23.8354)
Montaña Quemada;Point(-17.84042 28.62497)
Purchas Hill;Point(174.847 -36.8871)
Агуа-де-Пау;Point(-25.491558333 37.760333333)
Возвышенность Шатского;Point(158.0666667 32.03333333)
Mount Iō;Point(130.3049 30.7928)
Mount Hōonji;Point(136.5975 36.063333)
Mount Boucherie;Point(-119.581 49.8539)
Mount Hōonji;Point(136.5975 36.063333333)
Mount Manaia;Point(174.517 -35.818)
Karasugasen;Point(133.570556 35.355833)
Q10392610;Point(-27.4493 38.7514)
Mount Koshiki;Point(130.859167 31.965)
Тавкветили;Point(43.7214 41.6811)
Urzelina (volcano);Point(-28.1219 38.6675)
Энива;Point(141.28555556 42.79333333)
Hiruzen;Point(133.66361111 35.325)
Mount Hodson;Point(-27.15 -56.7)
Little Mount Cameroon;Point(9.11583 4.07306)
Mount Darnley;Point(-26.5 -59.05)
Mount Chisenupuri;Point(140.596667 42.888056)
Milbanke Sound Group;Point(-128.35027778 52.35472222)
Mount Tenchō;Point(145.085778 44.044389)
Mount Akandana;Point(137.572222222 36.2)
Nova Iguaçu Volcano;Point(-43.46638889 -22.76694444)
San Carlos;Point(8.539166666 3.360833333)
Mount Dainichi;Point(136.493056 36.161944)
San Pablo;Point(-68.36666667 -21.86666667)
Te Pou Hawaiki;Point(174.767 -36.8825)
S P Crater;Point(-111.629322222 35.582225)
Q6638133;Point(35.8338309 33.081932)
Mount Chūbetsu;Point(142.894444444 43.591111111)
Palpana;Point(-68.5225 -21.546666666)
Mount Dainichi;Point(136.4925 36.1635)
Mount Neko;Point(131.150555555 32.885)
Mount Raiden;Point(140.469444444 42.903611111)
Mount Onoko;Point(138.936944 36.580833)
Jocotitlán;Point(-99.7589 19.7381)
Mount Garan;Point(131.427777777 33.3175)
Mount Kurikoma;Point(140.788888888 38.961111111)
Eboshi-dake;Point(138.38722222 36.43333333)
Maungataketake;Point(174.747548 -36.994635)
West Molokai Volcano;Point(-157.2 21.13)
Michoacán-Guanajuato volcanic field;Point(-101.75 19.85)
