earthquake,earthquakeLabel,location
http://www.wikidata.org/entity/Q115775067,2022 Ferndale earthquake,Point(-124.423 40.525)
http://www.wikidata.org/entity/Q111951854,1858 Prome earthquake,Point(95.1 19.1)
http://www.wikidata.org/entity/Q110801140,Q110801140,Point(-75.85 19.77)
http://www.wikidata.org/entity/Q113297332,2022 Luzon earthquake,Point(120.809 17.598)
http://www.wikidata.org/entity/Q114295306,2022 Uithuizermeeden earthquake,Point(6.727071 53.414276)
http://www.wikidata.org/entity/Q111951273,1915 Imperial Valley earthquakes,Point(-115.5 32.8)
http://www.wikidata.org/entity/Q114024666,2022 Taitung earthquake,Point(121.16 23.08)
http://www.wikidata.org/entity/Q112507459,Q112507459,Point(97.33 3.86)
http://www.wikidata.org/entity/Q112593114,Q112593114,Point(123.32 4.68)
http://www.wikidata.org/entity/Q112593150,Q112593150,Point(135.88 2.74)
http://www.wikidata.org/entity/Q111949032,2019 East Azerbaijan earthquake,Point(47.558 37.808)
http://www.wikidata.org/entity/Q112507422,Q112507422,Point(128.34 3.26)
http://www.wikidata.org/entity/Q112666390,June 2022 Afghanistan earthquake,Point(69.514 33.092)
http://www.wikidata.org/entity/Q113493318,1895 Charleston earthquake,Point(-89.3 36.9)
http://www.wikidata.org/entity/Q111262472,Earthquake 2007-06-14 17:41:01,Point(151.6 -5.6)
http://www.wikidata.org/entity/Q115809087,1755 Meknes earthquake,Point(-5.0 34.08)
http://www.wikidata.org/entity/Q112507423,Q112507423,Point(118.5 2.75)
http://www.wikidata.org/entity/Q112507454,Q112507454,Point(99.18 1.66)
http://www.wikidata.org/entity/Q111262460,Earthquake 2011-12-09 19:42:56,Point(144.67 47.07)
http://www.wikidata.org/entity/Q114024810,2022 Taitung earthquakes,Point(121.2 23.14)
http://www.wikidata.org/entity/Q112587756,Q112587756,Point(120.97 7.06)
http://www.wikidata.org/entity/Q112507457,Q112507457,Point(104.11 6.18)
http://www.wikidata.org/entity/Q115187498,2021 Central Sulawesi earthquake,Point(121.92 -0.73)
http://www.wikidata.org/entity/Q115322003,2022 Cianjur earthquake,Point(107.095 -6.853)
http://www.wikidata.org/entity/Q112958123,1033 Jordan Rift Valley earthquake,Point(35.5 32.5)
http://www.wikidata.org/entity/Q111262456,Earthquake 2007-11-19 23:30:33,Point(-70.2 -22.7)
http://www.wikidata.org/entity/Q113717492,2022 Luding earthquake,Point(102.279 29.726)
http://www.wikidata.org/entity/Q113456720,1899 Aydın–Denizli earthquake,Point(28.1 37.9)
http://www.wikidata.org/entity/Q112507438,Q112507438,Point(118.39 8.66)
http://www.wikidata.org/entity/Q115162350,2022 Nepal earthquake,Point(81.189 29.274)
http://www.wikidata.org/entity/Q114052430,2022 Western México earthquake,Point(-103.252 18.367)
http://www.wikidata.org/entity/Q111244775,2022 Huizhou  earthquake,Point(115.04 22.51)
http://www.wikidata.org/entity/Q110656035,Earthquake 2005 Indonesia,Point(96.9 2.7)
http://www.wikidata.org/entity/Q114289484,1912 Acambay earthquake,Point(-99.884 19.561)
http://www.wikidata.org/entity/Q111262446,Earthquake 2012-08-21 17:39:37,Point(91.95 -0.08)
http://www.wikidata.org/entity/Q112507462,Q112507462,Point(100.29 1.75)
http://www.wikidata.org/entity/Q112507430,Bolaang Earthquake (2022),Point(123.7 0.08)
http://www.wikidata.org/entity/Q113518304,1981 Darel Valley earthquake,Point(73.68 35.68)
http://www.wikidata.org/entity/Q114773654,1114 Marash earthquake,Point(36.97 37.9)
http://www.wikidata.org/entity/Q111950903,1933 Sumatra earthquake,Point(104.83 -5.18)
http://www.wikidata.org/entity/Q111262490,Earthquake 2006-11-16 06:20:21,Point(154.7 46.3)
http://www.wikidata.org/entity/Q111949932,1996 Ston–Slano earthquake,Point(17.94 42.77)
http://www.wikidata.org/entity/Q114796983,Q114796983,Point(115.46 -1.94)
http://www.wikidata.org/entity/Q113158846,1986 Malatya earthquake,Point(37.806 37.993)
http://www.wikidata.org/entity/Q112507450,Q112507450,Point(120.58 8.31)
http://www.wikidata.org/entity/Q111148503,1944 Gulf of Edremit–Ayvacik earthquake,Point(26.6 39.5)
http://www.wikidata.org/entity/Q111169973,1843 Nias earthquake,Point(98.0 1.5)
http://www.wikidata.org/entity/Q110682481,1766 Cuba earthquake,Point(-76.1 19.9)
http://www.wikidata.org/entity/Q111269790,Q111269790,Point(91.4 31.1)
http://www.wikidata.org/entity/Q113685871,February 2004 Nabire earthquakes,Point(135.524 -3.643)
http://www.wikidata.org/entity/Q113987978,1977 Naghan earthquake,Point(50.683 31.983)
http://www.wikidata.org/entity/Q111678544,1766 Southeastern Caribbean earthquake,Point(-62.5 11.0)
http://www.wikidata.org/entity/Q115518352,1957 Sangchal earthquake,Point(52.778 36.277)
http://www.wikidata.org/entity/Q113614536,1977 Bob–Tangol earthquake,Point(56.473 30.954)
http://www.wikidata.org/entity/Q112507436,Q112507436,Point(119.96 0.82)
http://www.wikidata.org/entity/Q116810812,1513 Marash earthquake,Point(36.5 37.5)
http://www.wikidata.org/entity/Q111942577,1709 Zhongwei earthquake,Point(105.3 37.4)
http://www.wikidata.org/entity/Q110656025,Earthquake 2018 Guatemala,Point(-90.38 13.06)
http://www.wikidata.org/entity/Q113585006,1824 Shiraz earthquake,Point(52.5 29.6)
http://www.wikidata.org/entity/Q113213549,1979 Saint Elias earthquake,Point(-141.593 60.642)
http://www.wikidata.org/entity/Q116265664,1956 Atarfe-Albolote earthquake,Point(-3.73 37.26)
http://www.wikidata.org/entity/Q112507433,Q112507433,Point(117.31 8.17)
http://www.wikidata.org/entity/Q115815977,2022 Cyprus earthquake,Point(31.944 35.227)
http://www.wikidata.org/entity/Q110940947,2022 Guatemala earthquake,Point(-91.293 14.193)
http://www.wikidata.org/entity/Q111262450,Earthquake 2017-07-10 15:37:25,Point(-100.71 -36.18)
http://www.wikidata.org/entity/Q112507456,Q112507456,Point(127.18 1.11)
http://www.wikidata.org/entity/Q111262464,Earthquake 2018-09-26 00:37:33,Point(-178.09 -18.01)
http://www.wikidata.org/entity/Q111262483,Earthquake 2005-10-25 19:40:43,Point(145.8 -7.1)
http://www.wikidata.org/entity/Q112507440,Q112507440,Point(128.16 3.65)
http://www.wikidata.org/entity/Q110656032,2010 earthquake Papua New Guinea,Point(141.85 -3.8)
http://www.wikidata.org/entity/Q111342102,Q111342102,Point(121.61 23.4)
http://www.wikidata.org/entity/Q112507425,Q112507425,Point(118.54 2.74)
http://www.wikidata.org/entity/Q114436350,2022 West Azerbaijan earthquake,Point(45.038 38.511)
http://www.wikidata.org/entity/Q114024810,2022 Taitung earthquakes,Point(121.316 23.159)
http://www.wikidata.org/entity/Q112194359,2022 Ya'an earthquake,Point(102.956111111 30.283888888)
http://www.wikidata.org/entity/Q111169108,2002 Baltistan earthquakes,Point(74.515 35.414)
http://www.wikidata.org/entity/Q115196727,2020 August Bengkulu eartquake,Point(100.91 -4.5)
http://www.wikidata.org/entity/Q111949032,2019 East Azerbaijan earthquake,Point(47.581 37.803)
http://www.wikidata.org/entity/Q114502905,Eemsdelta earthquake 10.2022,Point(6.772 53.319)
http://www.wikidata.org/entity/Q115816688,1957 Farsinaj earthquake,Point(47.748 34.388)
http://www.wikidata.org/entity/Q110682374,2002 Kosovo earthquake,Point(21.466 42.436)
