Earthquake,Earthquake_Lat,Earthquake_Lon,Volcano,Volcano_Lat,Volcano_Lon,Distance_km
1980 Oaxaca earthquake,18.21,-98.24,Попокатепетль,19.02222,-98.62778,98.78
1992 Flores earthquake,-8.48,121.896,Ndete Napu,-8.72,121.78,29.46
1940 El Centro earthquake,32.7333,-115.5,Cerro Prieto,32.418,-115.308,39.34
Землетрясение в Сальвадоре (1982),13.332,-89.387,Илопанго,13.66666667,-89.05,51.98
1986 Chalfant Valley earthquake,37.53,-118.45,Inyo Craters,37.6916,-119.01666,53.15
2016 Peru earthquake,-15.654,-72.009,Volcán Marhuas,-15.480555555,-72.016944444,19.21
1923 Kamchatka earthquake,54.486,160.472,Vulkan Kronotskaya Sopka,54.75262,160.53201,29.93
2011 northern Nagano earthquake,36.985,138.597,Сига,36.69999,138.51273,32.51
Землетрясения в префектуре Кумамото (2016),32.849,130.635,Mount Kinbō,32.814055555,130.639111111,3.89
2015 Aspen earthquake,39.225,-106.764,Dotsero,39.6606,-107.035,53.69
Terremoto de Guatemala de 1874,14.634413,-90.925813,Фуэго,14.474722222,-90.880833333,18.32
Землетрясение в Италии (1962),41.175,15.009,Camaldoli,40.8575,14.1914,77.28
Землетрясение на Сицилии (1975),38.169,15.633,Gran Cratere,38.40417,14.9657,63.95
1913 Guatemala Earthquake,14.28,-90.3,Q25182350,14.1661,-90.2803,12.78
1816 Guatemala earthquake,15.5,-91.5,Q25182146,14.8,-91.516666666,77.48
2014 Northern Nagano earthquake,36.689,137.88783333,Mount Iizuna,36.733333333,138.133333333,22.48
землетрясение в Индонезии 7 декабря 2016 года,5.283,96.168,Q12763633,4.768889,96.8211,92.07
Землетрясение на острове Ле-Сент (2004),16.68,-61.7,Bouillante Chain,16.12,-61.75,62.2
Землетрясение в Аргентине (2015),-25.467,-64.484,Morro de los Volcanes,-25.3833,-65.0408,56.78
Землетрясение в Греции (1894),38.65,23.08,Сусаки,37.9367981,23.08720016,79.17
1898 Rieti earthquake,42.415,12.905,Альгид,41.7267,12.7786,77.16
Землетрясение в Малайзии (1976),4.956,118.308,Mount Maria; Malaysia,4.42,117.96,70.74
Землетрясение в США (2016),38.378,-118.896,Mono Lake Volcanic Field,38.0,-119.03,43.57
Землетрясение на Гуаме (1993),13.0,144.75,Seamount X,13.25,144.02,83.85
2017 Papua New Guinea earthquake,-6.246,155.172,Баканови,-6.15,155.35,22.38
землетрясение в Италии 2017 года,42.53,13.28,Альгид,41.7267,12.7786,98.39
2016 Southern Chile earthquake,-43.416,-73.88,Корковадо,-43.193055555,-72.792777777,91.62
February 2001 El Salvador earthquake,13.67,-88.93,Илопанго,13.66666667,-89.05,12.99
Землетрясение в Португалии (1841),38.4,-25.3,Furnas,37.762134,-25.321521,70.83
2015 South Kivu earthquake,-2.141,28.897,Tshibinda,-2.3083,28.7442,25.12
Землетрясение к северу от Баннинга; Калифорния (2010),33.966,-116.876,Pipkin,34.68666667,-116.62,83.34
Землетрясение в Вануату (2010),-13.571,167.227,Урепарапара (вулкан),-13.46666667,167.3166667,15.08
Землетрясение в Тарапака; Чили (2010),-18.058,-70.547,Чупикинья,-17.666666666,-69.8,90.24
2018 Hokkaido Eastern Iburi earthquake,42.69,142.006666666,Тарумаэ,42.69,141.378055555,51.51
Землетрясение в Коста-Рике (2010),9.247,-84.302,Ирасу,9.979166666,-83.8525,94.83
2018 Hokkaido Eastern Iburi earthquake,42.671,141.933,Тарумаэ,42.69,141.378055555,45.53
Q60022429,28.25,-16.066697222,Montaña de Ajódar,28.1517,-15.64058,43.23
Землетрясение к западу-северо-западу от Альберто Овьедо Мота; Мексика (2010),32.266,-115.293,Cerro Prieto,32.418,-115.308,16.91
Землетрясение к востоку-юго-востоку от Окотильо; Калифорния (2010),32.664,-115.809,Cerro Prieto,32.418,-115.308,54.4
Землетрясение к востоку-юго-востоку от Окотильо; Калифорния (2010),32.647,-115.806,Cerro Prieto,32.418,-115.308,53.23
Землетрясение к юго-юго-западу от Эстасьон Коауила; Мексика (2010),32.099,-115.048,Cerro Prieto,32.418,-115.308,43.03
Землетрясение на Соломоновых островах (2010),-8.726,157.487,Coleman Seamount,-8.841,157.16,38.16
Землетрясение к югу от Редлендс; Калифорния (2010),34.005,-117.18,Pipkin,34.68666667,-116.62,91.5
Землетрясение к юго-западу от Альберто Овьедо Мота; Мексика (2010),32.165,-115.268,Cerro Prieto,32.418,-115.308,28.31
Землетрясение на Новой Ирландии; Папуа-Новая Гвинея (2010),-3.361,152.245,Tavui,-4.12,152.2,84.08
