earthquakeLabel;location
1887 Diano Marina earthquake;Point(8.03333 43.8833)
Землетрясение в Кобе;Point(135.035 34.598333)
Землетрясение в Хенгчуне;Point(120.54 21.83)
1929 Grand Banks earthquake;Point(-57.25 44.5)
1812 New Madrid earthquake;Point(-89.6 36.4)
Землетрясение и цунами Мэйдзи Санрику;Point(144.0 39.5)
Базельское землетрясение;Point(7.6 47.4)
1976 Çaldıran-Muradiye earthquake;Point(44.03 39.12)
Землетрясение в Скопье;Point(21.4333 42.0)
1703 Genroku earthquake;Point(139.8 34.7)
Антиохийское землетрясение;Point(36.12 36.23)
1950 Assam–Tibet earthquake;Point(96.5 28.5)
1974 Hunza earthquake;Point(72.8 35.0)
Землетрясение в Манагуа;Point(-86.1 12.3)
Сычуаньское землетрясение;Point(103.367 31.021)
Землетрясение в Мьянме;Point(99.949 20.705)
1935 Hsinchu-Taichung earthquake;Point(120.75 24.3)
Землетрясение 9/21 на Тайване;Point(120.982 23.772)
Землетрясение в Пичилему (2010);Point(-71.799 -34.326)
Землетрясение в Пичилему (2010);Point(-71.95 -34.92)
2005 Lake Tanganyika earthquake;Point(29.615 -6.194)
Землетрясение в Л’Акуиле;Point(13.334 42.334)
Землетрясение в Перу;Point(-76.51 -13.353)
2007 Solomon Islands earthquake;Point(156.978 -8.481)
2007 Chūetsu offshore earthquake;Point(138.446 37.535)
Таншаньское землетрясение;Point(118.401 39.664)
1976 Friuli earthquake;Point(13.27 46.36)
1117 Verona earthquake;Point(11.023 45.309)
Землетрясение в Мексике (1981);Point(-102.084 18.048)
"1999 Armenia; Colombia earthquake";Point(-75.7 4.5)
Землетрясение в Каракасе;Point(-67.4 10.68)
Землетрясение в Сербии (2010);Point(20.624 43.718)
Карпатское землетрясение;Point(26.76 45.77)
Агадирское землетрясение;Point(-9.69 30.351)
Китайское землетрясение;Point(109.7 34.5)
1927 Aysén Region earthquake;Point(-73.0 -44.6)
2009 West Java earthquake;Point(107.328 -7.778)
Землетрясение в Фергане;Point(71.435 40.13)
1992 Nicaragua earthquake;Point(-87.34 11.742)
Землетрясение в Турции;Point(40.1 38.807)
Землетрясение в Хокс-Бей;Point(177.0 -39.3)
Великое землетрясение Канто;Point(139.5 35.3)
1997 Umbria and Marche earthquake;Point(12.812 43.084)
Землетрясение в Новой Зеландии (1942);Point(175.868 -41.186)
2001 El Salvador earthquake;Point(-88.96 13.6)
1976 Songpan-Pingwu earthquake;Point(104.2 32.69)
2006 Hawaii earthquake;Point(-156.027 19.82)
2009 Costa Rica earthquake;Point(-84.159 10.197)
Землетрясение в Индонезии (2011);Point(122.771 -4.586)
1964 Niigata earthquake;Point(139.22 38.37)
Q2889662;Point(-68.4 -28.65)
Землетрясение в Аргентине (1944);Point(-68.5261 -31.5342)
Землетрясение на островах Рюкю (2010);Point(126.285 26.746)
1611 Keicho Sanriku earthquake;Point(144.4 39.0)
Землетрясение в Греции (1928);Point(23.0 38.0)
Загребское землетрясение 1880 года;Point(16.1 45.9)
1998 Papua New Guinea earthquake;Point(141.92 -2.96)
1570 Ferrara earthquake;Point(11.633 44.817)
1843 Wanganui earthquake;Point(175.05 -39.93333333)
Гуджаратское землетрясение;Point(69.8 23.6)
2007 Iberian Peninsula earthquake;Point(-10.433 36.15)
2008 Iceland earthquake;Point(-21.014 63.992)
Землетрясение в Крайстчерче;Point(172.74 -43.56)
Землетрясение в Нефтегорске;Point(142.827 52.629)
1968 Casiguran earthquake;Point(122.2 16.5)
Землетрясение на Азорских островах (1969);Point(-10.613 36.033)
Землетрясение в Хайчэне;Point(122.75 40.85)
Землетрясение в Чили (1949);Point(-69.596 -53.923)
1990 Luzon earthquake;Point(121.2 15.7)
1088 Tmogvi earthquake;Point(44.0 41.23)
1997 Cariaco earthquake;Point(-63.486 10.598)
The Seventh Earthquake;Point(35.5 32.0)
2009 Shizuoka earthquake;Point(138.276 34.778)
1605 Keichō Nankaidō earthquake;Point(138.5 33.5)
"Землетрясение в Северной Суматре; Индонезия (2010)";Point(96.055 3.775)
"Землетрясение на островах Бонин; Япония (2010)";Point(143.739 26.866)
1999 Düzce earthquake;Point(31.23 40.82)
1949 Khait earthquake;Point(70.8 39.2)
2005 Miyagi earthquake;Point(142.04 38.28)
Землетрясение у островов Тонга;Point(-175.2 -21.133)
Землетрясение в Эрзинджане (1939);Point(39.53 39.77)
1960 Concepción earthquake;Point(-73.353 -37.824)
1927 earthquake in Palestine;Point(35.4 31.6)
Землетрясение в Иране (июль 2010);Point(59.271 35.225)
2009 Yunnan earthquake;Point(101.082 25.6361)
Землетрясение в Бельгии (1692);Point(5.865833333 50.617222222)
1904 earthquake near Oslofjord;Point(11.01791 58.88904)
1531 Lisbon earthquake;Point(-8.0 39.0)
2002 Dudley earthquake;Point(-2.16 52.53)
Землетрясение в Колумбии (1970);Point(-72.532 -1.597)
Землетрясение в Иране (2010);Point(59.15 28.38)
2001 southern Peru earthquake;Point(-73.64 -16.26)
1941 Van-Erciş earthquake;Point(43.3 39.5)
Землетрясение в Нисквалли (2001);Point(-122.73 47.15)
Землетрясения в Чжаотуне;Point(103.99 27.582)
Землетрясение в Дубровнике;Point(18.1 42.6)
1868 Arica earthquake;Point(-70.35 -18.516666666)
1989 Malawi earthquake;Point(34.42 -13.702)
1934 Bihar earthquake;Point(87.09 27.55)
Землетрясение в Грузии (2009);Point(43.414 42.662)
Землетрясение на Андаманских островах (2009);Point(92.923 14.013)
2001 El Salvador earthquake;Point(-88.66 13.04)
Hilina Slump;Point(-155.164 19.2708)
1933 Sanriku earthquake;Point(144.117 39.1283)
1968 Tokachi earthquake;Point(143.35 40.9)
1978 Miyagi earthquake;Point(142.03 38.19)
1946 earthquake in Switzerland;Point(7.4 46.35)
1998 Adana-Ceyhan earthquake;Point(35.32 36.85)
Землетрясение в Киргизии;Point(73.768 39.8483)
2003 Bingöl earthquake;Point(40.464 39.007)
1939 Chillán earthquake;Point(-72.2 -36.2)
1982 North Yemen earthquake;Point(44.38 14.7)
Землетрясение в Колиме (2003);Point(-104.22 18.6)
1985 Santiago earthquake;Point(-72.04 -33.24)
Землетрясение в Черногории;Point(18.98 41.98)
Ашхабадское землетрясение;Point(58.32 37.95)
1980 El Asnam earthquake;Point(1.66667 36.3333)
1911 Sarez earthquake;Point(72.8 38.2)
1980 Azores Islands earthquake;Point(-27.78 38.81)
Укаяльское землетрясение;Point(-74.506 -7.644)
April 2009 Afghanistan earthquake;Point(70.1 34.2)
1970 Ancash earthquake terremot;Point(-78.31 -9.47)
Гохское землетрясение (2011);Point(6.025 51.683)
Землетрясение в Коста-Рике;Point(-85.318 9.996)
Сицилийское землетрясение;Point(15.013055555 37.14)
Землетрясение на островах Рюкю (2010);Point(128.68 25.91833333)
1957 Andreanof Islands earthquake;Point(-175.167 51.8333)
Q2465597;Point(154.463 -6.112)
Granada earthquake of 25 December 1884;Point(-3.98333333 36.95)
Galilee earthquake of 1837;Point(35.5 33.0)
Симуширское землетрясение;Point(153.23 46.607)
Землетрясение в Бутане;Point(91.412 27.346)
1968 Illinois earthquake;Point(-88.48 37.95)
Землетрясение в Белуджистане;Point(63.0 24.5)
1938 Banda Sea earthquake;Point(130.5 -5.25)
June 2012 Afghanistan earthquakes;Point(69.302 36.048)
1905 Calabria earthquake;Point(16.07 38.67)
Землетрясение на Курильских островах;Point(154.075 46.48)
Землетрясение на Соломоновых островах (2010);Point(157.307 -8.912)
Рачинское землетрясение;Point(43.673 42.453)
Карпатское землетрясение;Point(26.932 45.753)
2000 Sumatra earthquake;Point(102.06 -4.61)
1783 New Jersey earthquake;Point(-74.498 40.819)
1904 Douliu earthquake;Point(120.25 23.58)
1917 Bali earthquake;Point(115.0 -8.3)
1872 North Cascades earthquake;Point(-119.9 47.76)
1920 Garfagnana earthquake;Point(10.283 44.183)
Землетрясение в Крайстчерче (1869);Point(173.0 -44.0)
1842 Cap-Haitien earthquake;Point(-72.2 19.75)
1688 Izmir earthquake;Point(26.9 38.4)
1872 Lone Pine earthquake;Point(-118.06 36.61)
1855 Ansei Edo earthquake;Point(139.8 35.65)
1905 Kangra earthquake;Point(76.0 33.0)
1812 Wrightwood earthquake;Point(-117.65 34.37)
1865 Memphis earthquake;Point(-89.5 36.0)
1727 Tabriz earthquake;Point(46.3 38.0)
1918 San Fermín earthquake;Point(-67.5 18.5)
1884 Colchester earthquake;Point(0.9 51.82)
1907 Kingston earthquake;Point(-76.7 18.2)
1855 Bursa earthquake;Point(29.1 40.2)
1647 Santiago earthquake;Point(-70.6 -33.4)
1901 Cheviot earthquake;Point(173.26 -42.81)
1730 Valparaíso earthquake;Point(-71.5 -32.5)
1782 Mendoza earthquake;Point(-69.12 -33.0)
1894 Meiji Tokyo earthquake;Point(139.8 35.7)
1641 Caracas earthquake;Point(-67.0 11.0)
1879 Gansu earthquake;Point(104.7 33.2)
"1867 Manhattan; Kansas earthquake";Point(-96.3 39.2)
1169 Sicily earthquake;Point(15.352455555 37.297855555)
