earthquakeLabel;location
Землетрясение в Китае (1995);Point(102.227 26.003)
Землетрясение в Денали;Point(-147.453 63.514)
2012 Yangzhou Earthquake;Point(119.645 32.99)
Землетрясение в Мексике (2012);Point(-102.689 18.229)
2006 Borujerd earthquake;Point(48.73 33.56)
2002 Sumatra earthquake;Point(96.085 2.824)
2009 Honduras earthquake;Point(-86.2 16.6667)
1944 Bolu-Gerede earthquake;Point(32.7 41.4)
1997 Chittagong earthquake;Point(92.7 22.34)
AD 17 Lydia earthquake;Point(28.04 38.49)
Землетрясение на Минданао (2002);Point(124.249 6.033)
2005 Fukuoka earthquake;Point(130.175 33.7383)
2008 Qeshm earthquake;Point(55.919 26.843)
2007–2008 Nazko earthquakes;Point(-124.08 52.88)
2002 Kalehe earthquake;Point(29.013 -1.905)
2005 Ruichang earthquake;Point(115.717 29.657)
1999 Hector Mine earthquake;Point(-116.27 34.6)
2009 Papua earthquake;Point(132.783 -0.51)
1998 Ninglang earthquake;Point(101.03 27.27)
Землетрясение в Чили (2003);Point(-71.637 -30.608)
2012 Gippsland earthquake;Point(146.2 -38.304)
2008 Illinois earthquake;Point(-87.89 38.45)
Землетрясение в Техасе (1995);Point(-103.66 30.3581)
Землетрясение в Чили (2008);Point(-71.726 -32.458)
2008 Bandar Abbas earthquake;Point(55.828 26.743)
Землетрясение в Аргентине (2006);Point(-68.719 -33.126)
2011 Zumpango earthquake;Point(-99.796 18.038)
1938 Kırşehir earthquake;Point(33.8 39.4)
2011 South Sandwich Islands earthquake;Point(-28.238 -55.98)
Землетрясение в Индиане (2010);Point(-85.888 40.427)
Землетрясение в Иране (893);Point(48.2 38.2)
Землетрясение в Чили (2007);Point(-71.695 -32.689)
1993 Hokkaidō earthquake;Point(139.197 42.851)
2008 El Calvario earthquake;Point(-73.814 4.399)
Землетрясение в Китае (2000);Point(101.063 25.607)
Землетрясение на Филиппинах (1994);Point(121.087 13.5319)
2006 Gulf of Mexico earthquake;Point(-86.577 26.331)
"Землетрясение к северо-западу от Кэмптон Хилс; Иллинойс (2010)";Point(-88.498 41.969)
1997 Cap-Rouge earthquake;Point(-71.45 46.76)
2007 Kent earthquake;Point(1.17 51.1)
1997 Punitaqui earthquake;Point(-71.22 -30.93)
1943 Tosya-Ladik earthquake;Point(33.72 41.05)
2009 New Ireland earthquake;Point(153.794 -5.153)
Землетрясение в Пакистане (1997);Point(68.208 29.976)
Землетрясение в Пенсильвании (1998);Point(-80.38 41.49)
1994 Java earthquake;Point(112.835 -10.477)
Землетрясение на Камчатке;Point(162.035 54.841)
Землетрясение в Алжире (2010);Point(4.032 35.903)
2005 Qeshm earthquake;Point(55.93 26.839)
2005 northern Peru earthquake;Point(-76.398 -5.678)
1996 Lijiang earthquake;Point(100.276 27.291)
2008 Dodecanese earthquake;Point(27.81 35.93)
2006 Tajikistan earthquake;Point(68.8281 37.255)
2007 Alum Rock earthquake;Point(-121.776 37.432)
1993 Scotts Mills earthquake;Point(-122.59 45.03)
2011 Colorado earthquake;Point(-104.7 37.07)
2007 Aisén Fjord earthquake;Point(-72.496 -45.266)
2003 Alabama earthquake;Point(-85.629 34.494)
Землетрясение в Афганистане (апрель 2010);Point(67.653 32.669)
Землетрясение в Чили (2012);Point(-71.365 -32.625)
"Землетрясение в Оахака; Мексика (2010)";Point(-97.76 16.527)
Землетрясение в Перу (1996);Point(-75.675 -14.993)
2005 Tarapacá earthquake;Point(-69.12 -19.592)
"Землетрясение на Новой Британии; Папуа-Новая Гвинея (2010)";Point(150.497 -6.019)
2000 Iceland earthquakes;Point(-20.37 63.97)
Землетрясения в Эритрее (2011);Point(41.694 13.42)
2011 Oklahoma earthquake;Point(-96.752 35.599)
2003 San Simeon earthquake;Point(-121.07 35.62)
2000 Baku earthquake;Point(49.9 40.25)
2011 Guerrero earthquake;Point(-98.592 16.808)
"Землетрясение на Сулавеси; Индонезия (2010)";Point(119.35 -1.461)
"Землетрясение на границе Киргизии; Таджикистана и Китая (2010)";Point(73.84 39.453)
Землетрясение в южном Иране (2010);Point(53.812 27.056)
"Землетрясение на востоке Хонсю; Япония (2010)";Point(140.715 39.058)
Землетрясение в Амбоне (2019);Point(128.347 -3.45)
1605 Guangdong earthquake;Point(110.5 19.9)
2019 Batanes earthquake;Point(121.986 20.807)
"Землетрясение в провинции Хэнань; Китай (2010)";Point(114.701 33.963)
Землетрясение в Албании (2019);Point(19.515 41.511)
2008 Iquique Earthquake;Point(-70.037 -20.166)
2020 Puerto Rico earthquake;Point(-66.813 17.916)
2020 Iran–Turkey earthquakes;Point(44.417 38.447)
2019 Yamagata earthquake;Point(139.454 38.635)
Землетрясение у побережья центрального Перу (2010);Point(-76.073 -13.39)
"Землетрясение на Южном острове; Новая Зеландия (2010)";Point(172.567 -43.607)
"Землетрясение на востоке провинции Сычуань; Китай (2010)";Point(104.212 28.031)
Землетрясение в Перу (2019);Point(-75.298 -5.796)
2019 Molucca Sea earthquakes;Point(126.199 0.523)
Землетрясение в западном Иране (2010);Point(48.94 33.37)
1668 North Anatolia earthquake;Point(36.0 40.9)
2020 Kuril Islands earthquake;Point(157.693 48.986)
2020 Monte Cristo Range earthquake;Point(-117.85 38.169)
Землетрясение в южном Иране (2010);Point(52.564 28.063)
Землетрясение в Бангладеш (2010);Point(90.648 23.407)
Землетрясение в южном Иране (2010);Point(53.861 27.022)
"Землетрясение в штате Раджастхан; Индия (2010)";Point(73.649 25.23)
Q93990179;Point(-24.4873 15.0306)
"Землетрясение в Синьцзян-Уйгурском автономном районе; Китай (2010)";Point(74.846 39.865)
"Землетрясение на острове Бугенвиль; Папуа-Новая Гвинея (2010)";Point(155.647 -6.534)
Землетрясение в Польше (2010);Point(16.057 51.472)
2019 Halmahera earthquake;Point(128.056 -0.566)
"Землетрясение на Южном острове; Новая Зеландия (2010)";Point(172.647 -43.55)
957 Caspian Sea earthquake;Point(52.1 35.95)
Q97210718;Point(139.7 35.7)
2019 Davao del Sur earthquake;Point(125.188 6.708)
"Землетрясение на Лусоне; Филиппины (2010)";Point(121.289 16.472)
Q66087736;Point(23.99095 42.026706111)
2020 Qiaojia earthquake;Point(103.288 27.266)
Землетрясение в Пакистане (2010);Point(72.887 33.869)
Землетрясение в центральном Перу (2010);Point(-71.715 -14.861)
Q94603197;Point(-73.0 -44.5)
"Землетрясение в провинции Сычуань; на границе с Чунцином; Китай (2010)";Point(105.472 29.335)
Землетрясение в Пакистане (2010);Point(67.117 30.178)
"1917 Villavicencio; Colombia earthquake";Point(-73.616666666 4.133333333)
2019 Istanbul earthquake;Point(28.173 40.89)
Землетрясение в южном Иране (2010);Point(56.812 29.703)
1950 Calama earthquake;Point(-67.912 -23.977)
"Землетрясение на Южном острове; Новая Зеландия (2010)";Point(172.69 -43.598)
2020 Tangshan earthquake;Point(118.44 39.78)
"Землетрясение на Южном острове; Новая Зеландия (2010)";Point(172.388 -43.57)
Q86678554;Point(4.638 44.612)
2020 Oaxaca earthquake;Point(-96.116666666 16.783333333)
Элязыгское землетрясение в Турции (2020);Point(39.081 38.39)
Землетрясение на границе Индии и Непала (2010);Point(80.428 29.872)
2019 Visayas earthquake;Point(125.38 11.79)
"2019 Pleasant Hill; California earthquake";Point(-122.057 37.938)
1739 Yinchuan–Pingluo earthquake;Point(106.5 38.9)
Землетрясение на Андаманских островах (2010);Point(93.087 13.197)
"Землетрясение на Анатахане; Марианские острова (2010)";Point(145.725 16.492)
1657 Concepción earthquake;Point(-73.033304 -36.682081)
May 2020 Tehran earthquake;Point(52.044 35.725)
Землетрясение в Эфиопии (2010);Point(42.775 10.239)
"Землетрясение на Северном острове; Новая Зеландия (2010)";Point(176.818 -40.433)
2019 Hualien earthquake;Point(121.54 24.06)
1420 Caldera earthquake;Point(-71.0 -27.0)
1967 Arette earthquake;Point(-0.731111111 43.093888888)
2020 Central Idaho earthquake;Point(-115.118 44.465)
2020 Kashgar earthquake;Point(77.21 39.83)
Valandovo Earthquake;Point(22.483 41.28175)
2019 Lombok earthquake;Point(116.521 -8.418)
2020 Salt Lake City earthquake;Point(-112.078 40.751)
Землетрясение на границе Китая и Индии (2010);Point(80.026 30.099)
Q85622165;Point(-69.91 47.67)
2019 Yilan earthquake;Point(121.91 24.43)
2019 Cotabato earthquakes;Point(125.0 6.75)
859 Syrian coasts earthquake;Point(36.0 36.0)
2001 Tarapacá earthquake;Point(-69.306666666 -19.59)
740 Constantinople earthquake;Point(28.9784 41.0082)
1799 Vendée earthquake;Point(-2.092153 46.959313)
Землетрясение в Загребе (2020);Point(15.966 45.897)
"Землетрясение на Сицилии; Италия (2010)";Point(14.916 38.415)
1737 Valdivia earthquake;Point(-73.245833 -39.813889)
2019 Banggai Islands earthquake;Point(122.54 -1.9)
2019 Yibin earthquake;Point(104.9 28.34)
2019 Ridgecrest earthquakes;Point(-117.605 35.766)
1626 Girifalco earthquake;Point(16.456 38.852)
2020 Jamaica earthquake;Point(-78.756 19.419)
2020 Bingöl earthquake;Point(40.735 39.35)
2019 Kashmir earthquake;Point(73.766 33.106)
991 Damascus earthquake;Point(36.2 33.2)
"Землетрясение в провинциях Сычуань; Юньнань; Чуйчжоу; Китай (2010)";Point(103.005 27.197)
Землетрясение на границе Индии и Непала (2010);Point(80.375 29.854)
2002 Afyon earthquake;Point(31.271 38.573)
Q78758910;Point(121.77 24.54)
"Землетрясение на Южном острове; Новая Зеландия (2010)";Point(172.409 -43.602)
1718 Tongwei–Gansu earthquake;Point(105.03333333 35.05)
Q66125186;Point(141.7 37.7)
1969 Tulbagh earthquake;Point(19.386 -33.268)
Q85625258;Point(-71.62 46.5)
2019 Luzon earthquake;Point(120.497 14.924)
Землетрясение на Филиппинах (1954);Point(124.079 12.835)
1902 Turkestan earthquake;Point(76.42 39.87)
Землетрясение в Китае (1937);Point(115.184 35.259)
Землетрясение в Китае (1966);Point(103.187 26.246)
Землетрясение в Мьянме (1941);Point(99.814 22.408)
Землетрясение в Китае (1944);Point(83.892 43.29)
1911 Guerrero earthquake;Point(-100.5 17.0)
Землетрясение в Турции (1955);Point(27.284 37.617)
Землетрясение в Китае (1965);Point(87.843 43.745)
Землетрясение на Филиппинах (1955);Point(123.157 7.658)
Землетрясение в Китае (1955);Point(74.734 39.831)
Землетрясение в Иране (1941);Point(58.785 33.482)
1995 Antofagasta;Point(-70.9 -23.65)
Землетрясение в Мьянме (1930);Point(96.42 17.97)
Землетрясение в Турции (1944);Point(26.596 39.502)
Землетрясение в Мексике (1973);Point(-102.996 18.481)
Землетрясение в Монголии (1957);Point(99.368 45.189)
Землетрясение в Китае (1917);Point(104.188 28.379)
1907 Sumatra Earthquake;Point(95.5 2.5)
Землетрясение в Иране (1923);Point(56.833 29.196)
Землетрясение в Китае (1952);Point(91.601 30.648)
Землетрясение в Иране (1947);Point(58.643 33.621)
Землетрясение в Чили (1822);Point(-71.63 -33.05)
Землетрясение в Перу (1960);Point(-74.867 -15.008)
1941 Hyūga-nada earthquake;Point(131.944 32.129)
Землетрясение на Филиппинах (1918);Point(124.377 5.967)
Землетрясение на Тайване (1959);Point(122.6 24.802)
Землетрясение в Перу (1947);Point(-74.725 -10.973)
Землетрясение в Мексике (1920);Point(-97.13333333 19.25)
Землетрясение в Греции (1954);Point(22.162 39.228)
Землетрясение в Китае (1906);Point(85.572 44.284)
Землетрясение в Иране (1960);Point(54.497 27.814)
Землетрясение в Аргентине (1929);Point(-67.885 -34.866)
Землетрясение в Китае (1955);Point(101.78 26.467)
Землетрясение на Соломоновых островах (апрель 2010);Point(161.116 -10.878)
1979 Imperial Valley earthquake;Point(-115.317 32.6167)
Землетрясение в Индии (1956);Point(70.107 23.278)
Землетрясение в Китае (1967);Point(100.262 31.633)
Землетрясение в Иране (1923);Point(57.046 36.617)
Землетрясение в Венесуэле (2010);Point(-63.495 10.421)
Землетрясение в Демократической республике Конго (1960);Point(29.031 -3.536)
Землетрясение в Индонезии (1931);Point(102.557 -5.412)
Землетрясение в Пакистане (1966);Point(68.588 29.988)
"February 4; 1998 Afghanistan earthquake";Point(70.08 37.07)
Землетрясение в Аргентине (1903);Point(-69.16666667 -32.16666667)
Землетрясение в Тунисе (1957);Point(8.836 36.232)
Землетрясение в Гватемале (1942);Point(-91.138 13.862)
Землетрясение в Гане (1939);Point(-0.628 5.552)
Землетрясение в Египте (1955);Point(29.748 32.418)
Q5725758;Point(52.42 35.59)
Землетрясение в Чили (1967);Point(-69.939 -21.865)
Землетрясение в Эфиопии (1961);Point(39.717 10.466)
Землетрясение в Чили (1929);Point(-68.403 -22.751)
Землетрясение на Тайване (1922);Point(121.842 24.33)
1900 San Narciso earthquake;Point(-66.0 11.0)
Землетрясение в Неваде (2008);Point(-114.872 41.144)
Землетрясение в Индонезии (1964);Point(95.374 5.57)
Землетрясение в Турции (1952);Point(35.496 36.841)
Землетрясение на Иранско-Туркменской границе (1997);Point(57.291 37.661)
Землетрясение на Тайване (1927);Point(120.305 23.353)
Землетрясение в Венесуэле (1950);Point(-69.819 9.71)
Землетрясение в Бутане(1915);Point(91.64 27.7)
Землетрясение в Мексике (1943);Point(-101.451 17.457)
Землетрясение в Китае (1969);Point(79.307 41.389)
Землетрясение в Турции (1928);Point(27.494 38.202)
Землетрясение в Китае (1936);Point(103.189 35.438)
Землетрясение в Бангладеш (1923);Point(90.721 24.937)
Землетрясение в Туркменистане (1946);Point(54.648 39.826)
Землетрясение в Индонезии (1938);Point(118.881 -0.557)
Землетрясение на Филиппинах (1948);Point(122.295 10.8)
Землетрясение в Китае (1923);Point(100.75 31.295)
Землетрясение на Филиппинах (1928);Point(124.178 6.753)
Землетрясение в Мьянме (1930);Point(96.298 18.233)
Землетрясение в Киргизстане (1924);Point(73.423 40.622)
Землетрясение в Перу (1913);Point(-73.823 -16.469)
Землетрясение в Китае (1924);Point(84.164 36.983)
Duvall earthquake;Point(-121.85 47.76)
Землетрясение в Китае (1936);Point(103.724 28.627)
Землетрясение в Японии (1922);Point(129.69 32.629)
Землетрясение в Коста-Рике (1955);Point(-84.517 10.101)
Q5485841;Point(-64.2 -23.0)
Землетрясение в Перу (1946);Point(-77.535 -8.41)
Землетрясение в Перу (1928);Point(-70.372 -13.613)
Землетрясение на Кипре (1953);Point(32.335 34.741)
Землетрясение на Тайване (1920);Point(121.986 23.684)
Землетрясение в Индонезии (1926);Point(101.468 0.102)
1913 Gorna Oryahovitsa earthquake;Point(25.689722222 43.122222222)
Землетрясение в Иране (2010);Point(51.666 29.637)
Землетрясение на Филиппинах (1921);Point(127.339 7.563)
Землетрясение на Кубе (2010);Point(-75.331 19.674)
Q5794767;Point(-53.083 -36.916)
Землетрясение в Эквадоре (1942);Point(-79.955 -0.025)
Землетрясение в Чили (2009);Point(-70.321 -19.394)
Землетрясение в Китае (1955);Point(101.759 29.957)
Землетрясение в Китае (1941);Point(99.247 23.714)
Q5908840;Point(101.638 -4.012)
Землетрясение в Киргизии (1946);Point(71.854 41.757)
Землетрясение в Китае (1966);Point(100.103 27.412)
Землетрясение в Никарагуа (1926);Point(-86.875 12.598)
Землетрясение в Китае (1971);Point(103.693 28.845)
Землетрясение в Колумбии (1962);Point(-76.352 5.173)
Землетрясение на Тайване (1957);Point(121.577 23.965)
Землетрясение в Индонезии (1968);Point(119.802 0.157)
Землетрясение в Турции (1971);Point(30.0802229 37.6302754)
Землетрясение в Мексике (1937);Point(-98.359 16.749)
Землетрясение в Греции (1933);Point(27.292 36.751)
Землетрясение в Перу (1948);Point(-70.252 -17.227)
Землетрясение в Перу (1983);Point(-78.103 -4.843)
Землетрясение в Турции (1967);Point(40.445 39.568)
Землетрясение в Перу (1968);Point(-77.086 -5.61)
Землетрясение в Чили (1946);Point(-70.472 -26.432)
Землетрясение в Аргентине (1930);Point(-66.5 -24.69972222)
Землетрясение в Иране (1957);Point(52.778 36.277)
Землетрясение в Индонезии (1932);Point(125.805 0.493)
Землетрясение в Мексике (1959);Point(-94.416 18.22)
Землетрясение на Филиппинах (1937);Point(121.68 14.575)
Землетрясение в Албании (1967);Point(20.532 41.386)
Землетрясение в Мексике (1968);Point(-92.536 15.573)
Землетрясение на Соломоновых Островах (1939);Point(159.812 -9.873)
Землетрясение в Чили (1971);Point(-68.938 -25.375)
Землетрясение в Афганистане (1972);Point(69.681 36.278)
Землетрясение в Чили (1965);Point(-71.1 -32.418)
Землетрясение в Колумбии (1967);Point(-73.032 6.747)
Землетрясение в Чили (1971);Point(-71.076 -32.601)
Землетрясение в Греции (1957);Point(28.699 36.405)
Землетрясение в Мексике (1959);Point(-97.154 17.445)
Землетрясение на Тайване (1972);Point(122.269 22.632)
Землетрясение в ЮАР (1969);Point(19.386 -33.268)
Землетрясение в Чили (1943);Point(-71.475 -31.432)
Землетрясение на Филиппинах (1973);Point(122.787 13.372)
Землетрясение на Аморгосе;Point(25.957 36.6664)
Землетрясение в Перу (1960);Point(-80.918 -6.775)
Землетрясение в Эквадоре (1987);Point(-77.653 0.048)
Землетрясение в Иране (1957);Point(47.748 34.388)
Землетрясение в Алжире (1954);Point(1.594 36.274)
Землетрясение в Мьянме (1930);Point(96.43 17.86)
Землетрясение в Турции (1967);Point(40.38 39.54)
Землетрясение в Индонезии (1983);Point(94.722 5.723)
Землетрясение в Пакистане (1972);Point(73.416 35.919)
Землетрясение на Тайване (1967);Point(122.218 24.401)
Землетрясение в Индонезии (1933);Point(104.596 -5.226)
Землетрясение в Йемене (1991);Point(44.068 13.887)
Землетрясение в Чили (1966);Point(-70.55 -25.494)
Землетрясение в Турции (1969);Point(28.546 38.515)
Землетрясение в Непале (1966);Point(80.845 29.504)
Землетрясение в Иране (1958);Point(47.867 34.29)
Землетрясение в Перу (1969);Point(-75.051 -11.841)
Землетрясение в Чили (1943);Point(-72.0 -30.75)
Землетрясение в Эквадоре (1971);Point(-77.322 -2.839)
Землетрясение в Чили (1949);Point(-72.676 -37.665)
Землетрясение в Чили (1950);Point(-67.912 -23.977)
Землетрясение в Мексике (1962);Point(-99.726 16.872)
Землетрясение в Греции (1968);Point(24.957 39.368)
Землетрясение в Турции (1968);Point(32.463 41.86)
Землетрясение в Македонии (1931);Point(22.659 41.34)
Землетрясение в Пакистане (1997);Point(71.62 34.872)
Землетрясение на Соломоновых Островах (1931);Point(161.11 -11.117)
Землетрясение в Турции (1964);Point(28.206 40.203)
Землетрясение в Китае (1976);Point(112.219 40.217)
Землетрясение в Перу (1958);Point(-72.242 -16.625)
Землетрясение в Мексике (1962);Point(-99.741 16.96)
Землетрясение в Чили (1959);Point(-68.862 -20.407)
Землетрясение на Камчатке (1923);Point(162.696 56.355)
Землетрясение в Мьянме (1956);Point(95.781 22.178)
Землетрясение в Перу (1940);Point(-77.487 -11.094)
Землетрясение в Иране (1956);Point(54.462 27.407)
Землетрясение на Филиппинах (1970);Point(121.63 15.791)
Землетрясение на Филиппинах (1976);Point(122.939 7.249)
Землетрясение в Индонезии (1969);Point(118.904 -3.201)
Землетрясение в Мексике (1932);Point(-104.224 19.373)
Землетрясение в Колумбии (1967);Point(-74.798 2.849)
Землетрясение в Мексике (1985);Point(-101.647 17.802)
Землетрясение в Мексике (1968);Point(-97.739 16.519)
Землетрясение в Индонезии (1967);Point(96.286 5.121)
Землетрясение в Индии (1967);Point(73.885 17.412)
Землетрясение в Индонезии (1936);Point(94.719 5.316)
Землетрясение в Таджикистане (1989);Point(68.694 38.465)
Землетрясение в Иране (1935);Point(53.675 36.556)
Землетрясение в Афганистане (1956);Point(67.607 35.155)
Землетрясение в Болгарии (1928);Point(25.717 42.329)
Землетрясение на Курильских островах (1918);Point(150.653 46.737)
Землетрясение в Китае (1973);Point(100.581 31.398)
Землетрясение на Гаваях (1975);Point(-155.002 19.333)
Землетрясение в Перу (1940);Point(-79.0 -11.033333333)
Землетрясение в Эфиопии (1969);Point(41.208 11.875)
Землетрясение в Греции (1926);Point(26.795 36.681)
Землетрясение в Перу (1974);Point(-81.093 -5.906)
Землетрясение в Иране (1961);Point(54.528 27.861)
Землетрясение в Мексике (1928);Point(-96.107 16.142)
Землетрясение на Филиппинах (1975);Point(125.993 12.54)
Землетрясение в Мексике (1932);Point(-103.907 19.419)
Землетрясение в Перу (1974);Point(-76.352 -12.299)
Землетрясение в Панаме (1974);Point(-77.688 7.747)
Землетрясение в Коста-Рике (1973);Point(-84.759 10.679)
Землетрясение в Индонезии (1967);Point(113.017 -8.965)
Землетрясение в Индии (1966);Point(78.961 28.565)
Землетрясение в Гватемале (1976);Point(-90.562 14.943)
Землетрясение в Новой Зеландии (1968);Point(172.02 -41.659)
Землетрясение в Афганистане (1976);Point(67.785 36.607)
Землетрясение в Папуа-Новой Гвинее (1988);Point(146.226 -6.062)
Землетрясение в Иране (1979);Point(59.741 33.918)
Землетрясение в Перу (1991);Point(-77.094 -5.982)
Землетрясение в Эквадоре (1979);Point(-79.358 1.598)
Землетрясение в Чили (1983);Point(-70.563 -26.535)
Землетрясение в Афганистане (1982);Point(69.011 36.148)
Землетрясение в Иране (1978);Point(49.646 32.139)
Землетрясение в Перу (1991);Point(-71.574 -15.679)
Землетрясение в Иране (1976);Point(59.155 33.802)
Землетрясение в Турции (2004);Point(40.812 39.93)
Землетрясение в Папуа-Новой Гвинее (1987);Point(147.689 -6.088)
Землетрясение на Соломоновых островах (1977);Point(160.731 -9.965)
Землетрясение в Индии (1984);Point(92.891 24.641)
Землетрясение в Турции (2002);Point(31.271 38.573)
Землетрясение в Индонезии (2004);Point(115.788 -8.31)
Землетрясение в Ираке (1991);Point(44.066 36.52)
Землетрясение в Румынии (1990);Point(26.668 45.841)
Землетрясение в Китае (1990);Point(100.245 35.986)
Землетрясение в Индонезии (1976);Point(139.918 -4.517)
Землетрясение в Индонезии (1985);Point(136.049 -4.13)
Землетрясение в Алжире (1999);Point(-1.281 35.321)
Землетрясение в Греции (1986);Point(22.176 37.014)
Землетрясение в Афганистане (1983);Point(70.738 36.372)
Землетрясение в Иране (1979);Point(59.726 33.962)
Землетрясение в Иране (1983);Point(52.264 35.953)
Землетрясение на Филиппинах (1999);Point(119.74 15.766)
Землетрясение в Португалии (1998);Point(-28.626 38.65)
Землетрясение в Иране (1980);Point(50.652 34.587)
Землетрясение на Филиппинах (1989);Point(126.729 8.337)
Землетрясение в Афганистане (1985);Point(70.896 36.19)
Землетрясение в Пакистане (1992);Point(71.317 33.377)
Землетрясение в Иране (1979);Point(59.472 33.897)
Землетрясение в Папуа-Новой Гвинее (1985);Point(151.045 -5.599)
Землетрясение в Индонезии (2004);Point(135.404 -3.609)
Землетрясение в Перу (1990);Point(-77.229 -6.016)
Землетрясение в Индонезии (1990);Point(122.857 1.186)
Землетрясение в Индонезии (1979);Point(108.252 -7.656)
Землетрясение в Эйоне (1995);Point(22.283 38.401)
Землетрясение в Индонезии (1979);Point(115.949 -8.207)
Землетрясение в Индонезии (2008);Point(95.964 2.768)
Землетрясение в Китае (1984);Point(121.621 32.621)
Q5942576;Point(66.331 28.925)
Землетрясение в Иране (1990);Point(49.799 36.636)
Землетрясение в Китае (1983);Point(115.213 35.206)
Землетрясение в Колумбии (1983);Point(-76.686 2.461)
Землетрясение в Иране (1977);Point(56.393 27.609)
Землетрясение в Папуа-Новой Гвинее (1983);Point(151.86 -5.54)
Землетрясение в Иране (1970);Point(55.885 37.733)
Землетрясение в Иране (1998);Point(59.976 32.457)
Землетрясение в Гвинее (1983);Point(-13.529 11.866)
Землетрясение в Колумбии (1981);Point(-72.527 8.117)
Землетрясение в Восточном Тиморе (1977);Point(125.3 -8.062)
Землетрясение в Мексике (1979);Point(-101.276 17.813)
Землетрясение в Пакистане (1981);Point(73.594 35.693)
Землетрясение в Папуа-Новой Гвинее (1993);Point(146.02 -5.889)
Землетрясение в Турции (1977);Point(40.024 38.562)
Землетрясение в Индонезии (2007);Point(126.282 1.065)
Землетрясение в море Сулавеси (2005);Point(123.337 5.293)
Землетрясение в Мьянме (1988);Point(95.127 25.149)
Землетрясение в Индии (1980);Point(75.633 32.913)
Землетрясение в Перу (2001);Point(-72.077 -17.543)
Землетрясение в Турции (2004);Point(43.979 39.766)
Землетрясение в Вануату (1999);Point(168.214 -16.423)
Землетрясение в Коста-Рике (1983);Point(-83.123 8.717)
Землетрясение в Алжире (1994);Point(-0.106 35.52)
Землетрясение в Индонезии (1979);Point(136.94 -1.679)
Землетрясение в Чили (1987);Point(-70.161 -24.388)
Землетрясение в Папуа-Новой Гвинее (1996);Point(154.999 -6.518)
Землетрясение в Мексике (1993);Point(-92.645 14.717)
Землетрясение в Иране (1977);Point(56.473 30.954)
Землетрясение в Китае (1998);Point(114.5 41.083)
Землетрясение в Иране (1999);Point(51.88 29.501)
Землетрясение в Китае (1976);Point(104.181 32.492)
Землетрясение на Тайване (1986);Point(121.574 23.901)
Землетрясение в Мексике (1978);Point(-96.591 16.01)
Землетрясение в Эквадоре (1996);Point(-78.737 -1.036)
Землетрясение в Афганистане (1990);Point(70.486 35.121)
Землетрясение в Китае (1982);Point(99.931 31.907)
Землетрясение в Чили (1976);Point(-68.919 -20.52)
Землетрясение в Пакистане (2002);Point(74.654 35.517)
Землетрясение в Индонезии (2004);Point(135.538 -3.615)
Землетрясение в Иране (1977);Point(50.683 31.983)
Землетрясение на Алкионидес (1981);Point(22.934 38.222)
Землетрясение на Филиппинах (1977);Point(122.327 16.773)
Землетрясение в Перу (1979);Point(-72.658 -16.39)
Землетрясение в Китае (1995);Point(103.123 36.427)
Землетрясение в Тайване (1978);Point(122.075 23.247)
Землетрясение в Чили (1981);Point(-73.074 -33.134)
Землетрясение в Мексике (1997);Point(-102.756 18.219)
Землетрясение в Колумбии (1979);Point(-76.217 4.805)
Землетрясение в Индонезии (1979);Point(136.04 -1.679)
Землетрясение в Перу (1986);Point(-71.785 -13.41)
Землетрясение в Индонезии (1997);Point(119.727 -3.776)
Землетрясение в Индонезии (1979);Point(115.75 -8.49)
Землетрясение на Филиппинах (1990);Point(121.899 11.76)
Землетрясение в Китае (1979);Point(119.241 31.452)
Землетрясение в Китае (1976);Point(98.953 24.57)
Землетрясение в Алжире (1989);Point(2.448 36.788)
Землетрясение в Индонезии (1979);Point(115.889 -8.39)
Землетрясение в Непале (1980);Point(81.092 29.598)
Землетрясение в Китае (1976);Point(101.052 27.605)
2014 La Habra earthquake;Point(-117.916 33.933)
землетрясение в Сулавеси (2021);Point(118.924 -3.005)
2021 Alaska Peninsula earthquake;Point(-157.841111111 55.325)
1867 Virgin Islands earthquake and tsunami;Point(-65.0 18.2)
1834 Java earthquake;Point(106.958 -6.47)
Dakeng Earthquakes Park;Point(120.734527777 24.178305555)
1555 Kashmir earthquake;Point(75.5 33.5)
2012 El Salvador earthquake;Point(-88.59 12.139)
2010 Aguas Buenas earthquake;Point(-66.135 18.26)
2021 April East Java earthquake;Point(112.519 -8.562)
Q106624668;Point(6.0732 45.9367)
1761 Lisbon earthquake;Point(-13.0 34.5)
1839 Ava earthquake;Point(96.0 21.9)
1946 Chatkal earthquake;Point(71.854 41.757)
Q99769021;Point(-1.4713 42.836)
2021 Larissa earthquake;Point(22.176 39.764)
2003 Taungdwingyi earthquake;Point(95.672 19.917)
2021 Guerrero earthquake;Point(-99.773 16.982)
2021 Chiba earthquake;Point(140.07 35.577)
2010 Moca earthquake;Point(-67.07 18.4)
2021 Kermadec Islands earthquake;Point(-177.267 -29.74)
1737 Kamchatka earthquake;Point(159.5 52.5)
1930 Bago earthquake;Point(96.43 17.86)
1990 Panay earthquake;Point(122.1 11.34)
Землетрясение в Алжире (1716);Point(3.0 36.8)
1954 Sofades earthquake;Point(22.162 39.228)
1995 Myanmar–China earthquake;Point(99.196 21.966)
2021 Bali earthquake;Point(115.461 -8.348)
1978 Oaxaca earthquake;Point(-96.591 16.01)
1863 Manila earthquake;Point(120.9 14.55)
