item,itemLabel,link,itemType
http://www.wikidata.org/entity/Q2572237,Absolute Boy,http://www.wikidata.org/entity/Q459902,http://www.wikidata.org/entity/Q459902
http://www.wikidata.org/entity/Q2572237,Absolute Boy,http://www.wikidata.org/entity/Q582913,http://www.wikidata.org/entity/Q582913
http://www.wikidata.org/entity/Q2572237,Absolute Boy,http://www.wikidata.org/entity/Q869183,http://www.wikidata.org/entity/Q869183
http://www.wikidata.org/entity/Q2572237,Absolute Boy,http://www.wikidata.org/entity/Q1017235,http://www.wikidata.org/entity/Q1017235
http://www.wikidata.org/entity/Q2572237,Absolute Boy,http://www.wikidata.org/entity/Q1021894,http://www.wikidata.org/entity/Q1021894
http://www.wikidata.org/entity/Q2572237,Absolute Boy,http://www.wikidata.org/entity/Q1076842,http://www.wikidata.org/entity/Q1076842
http://www.wikidata.org/entity/Q2572237,Absolute Boy,http://www.wikidata.org/entity/Q1139872,http://www.wikidata.org/entity/Q1139872
http://www.wikidata.org/entity/Q2572237,Absolute Boy,http://www.wikidata.org/entity/Q1191976,http://www.wikidata.org/entity/Q1191976
http://www.wikidata.org/entity/Q2471350,Godannar,http://www.wikidata.org/entity/Q1323415,http://www.wikidata.org/entity/Q1323415
http://www.wikidata.org/entity/Q2572237,Absolute Boy,http://www.wikidata.org/entity/Q2412785,http://www.wikidata.org/entity/Q2412785
http://www.wikidata.org/entity/Q2572237,Absolute Boy,http://www.wikidata.org/entity/Q2557715,http://www.wikidata.org/entity/Q2557715
http://www.wikidata.org/entity/Q2572237,Absolute Boy,http://www.wikidata.org/entity/Q2663935,http://www.wikidata.org/entity/Q2663935
http://www.wikidata.org/entity/Q4700970,"Кобаяси, Акико",http://www.wikidata.org/entity/Q2572237,seiyu
http://www.wikidata.org/entity/Q2572237,Absolute Boy,http://www.wikidata.org/entity/Q3544323,http://www.wikidata.org/entity/Q3544323
http://www.wikidata.org/entity/Q2572237,Absolute Boy,http://www.wikidata.org/entity/Q3859598,http://www.wikidata.org/entity/Q3859598
http://www.wikidata.org/entity/Q2572237,Absolute Boy,http://www.wikidata.org/entity/Q4115616,http://www.wikidata.org/entity/Q4115616
http://www.wikidata.org/entity/Q2572237,Absolute Boy,http://www.wikidata.org/entity/Q4700970,http://www.wikidata.org/entity/Q4700970
http://www.wikidata.org/entity/Q520669,"Ооцука, Хотю",http://www.wikidata.org/entity/Q2487170,seiyu
http://www.wikidata.org/entity/Q2572237,Absolute Boy,http://www.wikidata.org/entity/Q6366225,http://www.wikidata.org/entity/Q6366225
http://www.wikidata.org/entity/Q2572237,Absolute Boy,http://www.wikidata.org/entity/Q7674293,http://www.wikidata.org/entity/Q7674293
http://www.wikidata.org/entity/Q1317207,"Нарита, Кэн",http://www.wikidata.org/entity/Q2557696,seiyu
http://www.wikidata.org/entity/Q2572237,Absolute Boy,http://www.wikidata.org/entity/Q11383099,http://www.wikidata.org/entity/Q11383099
http://www.wikidata.org/entity/Q11397659,"Маэда, Нобору",http://www.wikidata.org/entity/Q2573191,seiyu
http://www.wikidata.org/entity/Q986880,"Саито, Аяка",http://www.wikidata.org/entity/Q2487170,seiyu
http://www.wikidata.org/entity/Q50016,"Като, Эмири",http://www.wikidata.org/entity/Q2583218,seiyu
