seiyu,seiyuLabel,bDate
http://www.wikidata.org/entity/Q4822748,Suzuko Mimori,1986-06-28T00:00:00Z
http://www.wikidata.org/entity/Q6202728,Jinpachi Nezu,1947-12-01T00:00:00Z
http://www.wikidata.org/entity/Q1752331,Masachika Ichimura,1949-01-28T00:00:00Z
http://www.wikidata.org/entity/Q1964086,كايتو إيشيكاوا,1993-10-13T00:00:00Z
http://www.wikidata.org/entity/Q2608996,سايكو شيمازو,1959-09-08T00:00:00Z
http://www.wikidata.org/entity/Q2623922,Hiroshi Tsuchida,1969-12-08T00:00:00Z
http://www.wikidata.org/entity/Q1201334,Toshihiko Seki,1962-06-11T00:00:00Z
http://www.wikidata.org/entity/Q1202136,كينيو هوريوتشي,1957-07-30T00:00:00Z
http://www.wikidata.org/entity/Q1204249,هيديو إيشيكاوا,1969-12-13T00:00:00Z
http://www.wikidata.org/entity/Q1007984,Yoshino Takamori,1963-11-23T00:00:00Z
http://www.wikidata.org/entity/Q1010229,Taeko Nakanishi,1931-02-11T00:00:00Z
http://www.wikidata.org/entity/Q6745641,مامي هوريكوشي,1960-06-09T00:00:00Z
http://www.wikidata.org/entity/Q6809188,Megumi Tano,1968-12-28T00:00:00Z
http://www.wikidata.org/entity/Q7706898,Tetsuo Kanao,1950-09-29T00:00:00Z
http://www.wikidata.org/entity/Q11393691,Mako Hyōdō,1962-09-07T00:00:00Z
http://www.wikidata.org/entity/Q3545463,柳原可奈子,1986-02-03T00:00:00Z
http://www.wikidata.org/entity/Q3546783,Kaoru Yachigusa,1931-01-06T00:00:00Z
http://www.wikidata.org/entity/Q4703774,أسامي سيتو,1993-04-02T00:00:00Z
http://www.wikidata.org/entity/Q1207010,Chikao Ōtsuka,1929-07-05T00:00:00Z
http://www.wikidata.org/entity/Q1396824,Naoki Makishima,1962-08-23T00:00:00Z
http://www.wikidata.org/entity/Q1469886,Kiyoshi Kobayashi,1933-01-11T00:00:00Z
http://www.wikidata.org/entity/Q1017066,Chiaki,1971-10-26T00:00:00Z
http://www.wikidata.org/entity/Q1059793,Megumi Takamoto,1985-10-03T00:00:00Z
