volcano,volcanoLabel,location
http://www.wikidata.org/entity/Q2073703,Schmidt,Point(160.63 54.92)
http://www.wikidata.org/entity/Q2601582,Smirnov,Point(146.126666666 44.422222222)
http://www.wikidata.org/entity/Q2144882,Q2144882,Point(120.225 -10.121667)
http://www.wikidata.org/entity/Q1896903,Nuevo Mundo volcano,Point(-66.478333333 -19.774166666)
http://www.wikidata.org/entity/Q2108921,Sotará,Point(-76.591944444 2.108055555)
http://www.wikidata.org/entity/Q2091698,Volcán Tenorio,Point(-85.015 10.672777777)
http://www.wikidata.org/entity/Q2433163,Wai Sano,Point(120.0166667 -8.71666667)
http://www.wikidata.org/entity/Q2340739,Gunung Dukono,Point(127.878105 1.699505)
http://www.wikidata.org/entity/Q2564984,Kuntomintar,Point(154.014444444 48.758055555)
http://www.wikidata.org/entity/Q2317058,Kaileney,Point(160.666666666 57.8)
http://www.wikidata.org/entity/Q1872082,Ndete Napu,Point(121.78 -8.72)
http://www.wikidata.org/entity/Q2589906,Taunshits,Point(159.8 54.533333333)
http://www.wikidata.org/entity/Q2638551,Albert Park Volcano,Point(174.767263 -36.848585)
http://www.wikidata.org/entity/Q1827535,Poike,Point(-109.25505 -27.105322222)
http://www.wikidata.org/entity/Q1950728,Rarotonga / Mount Smart,Point(174.8125 -36.918333333)
http://www.wikidata.org/entity/Q2622322,Los Patos,Point(-68.808888888 -27.301111111)
http://www.wikidata.org/entity/Q2229474,Kudriavy volcano,Point(148.81647 45.38494)
http://www.wikidata.org/entity/Q1869839,Lopevi,Point(168.5 -16.833333333)
http://www.wikidata.org/entity/Q1790072,Mount Okmok,Point(-168.13 53.43)
http://www.wikidata.org/entity/Q2154758,Mount Rishiri,Point(141.241922222 45.17865)
http://www.wikidata.org/entity/Q2401434,Iktunup,Point(160.75 58.083333333)
http://www.wikidata.org/entity/Q1769276,Nevado San Francisco,Point(-68.263055555 -26.918333333)
http://www.wikidata.org/entity/Q1980276,Q1980276,Point(6.945 49.9967)
http://www.wikidata.org/entity/Q2483640,Iliwerung,Point(123.573333333 -8.532222222)
http://www.wikidata.org/entity/Q2396057,Leroboleng,Point(122.842 -8.358)
http://www.wikidata.org/entity/Q2594712,Wudalianchi,Point(126.12 48.71666667)
http://www.wikidata.org/entity/Q2535356,volcanoes of the Leizhou Peninsula,Point(110.16666667 20.5)
http://www.wikidata.org/entity/Q2080294,Prevo Peak,Point(152.115 47.011111111)
http://www.wikidata.org/entity/Q2025111,Kozyrevsky,Point(158.383333333 55.583333333)
http://www.wikidata.org/entity/Q2150879,Azhdahak,Point(44.947255555 40.225761111)
http://www.wikidata.org/entity/Q2160928,Rodderberg,Point(7.198333333 50.6425)
http://www.wikidata.org/entity/Q2045381,Tatarinov Volcano,Point(155.45 50.3)
http://www.wikidata.org/entity/Q2621082,Khangar,Point(157.366666666 54.75)
http://www.wikidata.org/entity/Q2656048,Pico Birigoyo,Point(-17.8408747 28.6049295)
http://www.wikidata.org/entity/Q2332726,Tshibinda,Point(28.7442 -2.3083)
http://www.wikidata.org/entity/Q2181214,Kamojang,Point(107.8 -7.125)
http://www.wikidata.org/entity/Q2092383,Pico viejo,Point(-16.664722222 28.263888888)
http://www.wikidata.org/entity/Q1952854,Krainy,Point(159.033333333 56.366666666)
http://www.wikidata.org/entity/Q2019666,Cumbal,Point(-77.883333333 0.955833333)
http://www.wikidata.org/entity/Q2595055,Surveyors volcano,Point(158.68 56.333888888)
http://www.wikidata.org/entity/Q2549314,Iyang-Argapura,Point(113.57 -7.97)
http://www.wikidata.org/entity/Q2530684,Wright Seamounts,Point(-179.183333 -31.85)
http://www.wikidata.org/entity/Q2301875,Água de Pau,Point(-25.491558333 37.760333333)
http://www.wikidata.org/entity/Q2160644,Rockeskyllerkopf,Point(6.68111 50.2536)
http://www.wikidata.org/entity/Q2425296,Udokan Plateau,Point(117.77 56.28)
http://www.wikidata.org/entity/Q1869504,Longgang volcano group,Point(126.5 42.33333333)
http://www.wikidata.org/entity/Q2454241,Tristan da Cunha,Point(-12.285 -37.115)
http://www.wikidata.org/entity/Q2352524,Wolo Inelika,Point(120.98 -8.73)
http://www.wikidata.org/entity/Q1880965,Volcán Tolimán,Point(-91.189166666 14.6125)
http://www.wikidata.org/entity/Q2186376,Sinarka,Point(154.180833333 48.873888888)
http://www.wikidata.org/entity/Q1950449,Putauaki,Point(176.8 -38.1)
http://www.wikidata.org/entity/Q2229474,Kudriavy volcano,Point(148.813055555 45.383888888)
http://www.wikidata.org/entity/Q2087307,Lvinaya Past,Point(146.993888888 44.608333333)
http://www.wikidata.org/entity/Q2044399,Eldborg,Point(-22.320833333 64.796111111)
http://www.wikidata.org/entity/Q2639098,Mount Haku,Point(136.5 36.1)
http://www.wikidata.org/entity/Q2601149,Demon,Point(148.8603 45.5014)
http://www.wikidata.org/entity/Q1800511,Laguna Aramuaca,Point(-88.105 13.428055555)
http://www.wikidata.org/entity/Q2044399,Eldborg,Point(-22.23 64.87)
http://www.wikidata.org/entity/Q2604945,Isolation Point,Point(167.5 -78.1833)
http://www.wikidata.org/entity/Q2332726,Tshibinda,Point(28.75 -2.316666666)
http://www.wikidata.org/entity/Q2593019,Ilyinsky,Point(157.2 51.49)
http://www.wikidata.org/entity/Q1950774,Takarunga / Mount Victoria,Point(174.799 -36.8266)
http://www.wikidata.org/entity/Q2091943,Iettunup,Point(161.066666666 58.4)
http://www.wikidata.org/entity/Q2651559,Mendeleyeva,Point(145.736111111 43.976388888)
http://www.wikidata.org/entity/Q2530709,Volcán Azul,Point(-83.95888889 12.55305556)
http://www.wikidata.org/entity/Q2256488,Fedotych,Point(160.4 57.133333333)
http://www.wikidata.org/entity/Q1891390,San Félix Island,Point(-80.0833 -26.2986)
http://www.wikidata.org/entity/Q609982,Antuco,Point(-71.351111111 -37.41)
http://www.wikidata.org/entity/Q783798,Mount Cleveland,Point(-169.945 52.822222222)
http://www.wikidata.org/entity/Q804039,Mount Bisoke,Point(29.448333333 -1.511111111)
http://www.wikidata.org/entity/Q814113,Beerenberg,Point(-8.155880555 71.079666666)
http://www.wikidata.org/entity/Q978441,Jabal al-Tair Island,Point(41.83 15.54)
http://www.wikidata.org/entity/Q991004,Broutona,Point(150.733333333 46.716666666)
http://www.wikidata.org/entity/Q969968,Silay,Point(123.23333333 10.76666667)
http://www.wikidata.org/entity/Q906358,Volcán Maipo,Point(-69.832166666 -34.163916666)
http://www.wikidata.org/entity/Q839630,Koryaksky,Point(158.683333333 53.316666666)
http://www.wikidata.org/entity/Q799818,Bagabag,Point(146.233333333 -4.8)
http://www.wikidata.org/entity/Q896523,Großer Beerberg,Point(10.746111111 50.659444444)
http://www.wikidata.org/entity/Q804562,Bal Haf,Point(48.333333333 14.05)
http://www.wikidata.org/entity/Q547770,Tyatya,Point(146.25099 44.35408)
http://www.wikidata.org/entity/Q859376,Volcán de Fuego,Point(-90.880833333 14.474722222)
http://www.wikidata.org/entity/Q1049619,Izalco,Point(-89.633333333 13.813055555)
http://www.wikidata.org/entity/Q607372,Puy de Dôme,Point(2.9624 45.772)
http://www.wikidata.org/entity/Q1037278,Agnano,Point(14.14972222 40.84472222)
http://www.wikidata.org/entity/Q692922,Novarupta,Point(-155.156666666 58.266666666)
http://www.wikidata.org/entity/Q620860,Mount Unzen,Point(130.298694 32.761342)
http://www.wikidata.org/entity/Q937167,Rano Raraku,Point(-109.286111111 -27.123888888)
http://www.wikidata.org/entity/Q862760,Kronotsky,Point(160.53201 54.75262)
http://www.wikidata.org/entity/Q718441,Mount Azuma-kofuji,Point(140.25 37.73)
http://www.wikidata.org/entity/Q791652,Avachinsky,Point(158.832777777 53.255)
http://www.wikidata.org/entity/Q791652,Avachinsky,Point(158.833333333 53.255555555)
http://www.wikidata.org/entity/Q691021,Cay,Point(-72.98583333 -45.0625)
http://www.wikidata.org/entity/Q1047509,Mount Bental,Point(35.782777777 33.129166666)
http://www.wikidata.org/entity/Q713836,Mount Iwate,Point(141.00111111 39.8525)
http://www.wikidata.org/entity/Q695846,Nyamuragira,Point(29.2 -1.408333333)
http://www.wikidata.org/entity/Q760819,Mount Popomanaseu,Point(160.061944444 -9.703611111)
http://www.wikidata.org/entity/Q842154,Brennisteinsfjöll,Point(-21.833333333 63.916666666)
http://www.wikidata.org/entity/Q747584,Macizo de Teno,Point(-16.85 28.3)
http://www.wikidata.org/entity/Q605355,Rábida Island,Point(-90.709 -0.413)
http://www.wikidata.org/entity/Q862760,Kronotsky,Point(160.516666666 54.75)
http://www.wikidata.org/entity/Q614531,Antsiferov Island,Point(154.983333333 50.2)
http://www.wikidata.org/entity/Q890128,Harrat Lunayyir,Point(37.75 25.17)
http://www.wikidata.org/entity/Q577482,Cerro Solo,Point(-68.716666666 -27.108333333)
http://www.wikidata.org/entity/Q642114,Arens-Berg,Point(6.73129 50.2886)
http://www.wikidata.org/entity/Q955177,San Antonio,Point(-17.848244444 28.485919444)
http://www.wikidata.org/entity/Q809722,Bas Dong Nai,Point(107.2 10.8)
http://www.wikidata.org/entity/Q713619,Mount Yōtei,Point(140.806388888 42.827222222)
http://www.wikidata.org/entity/Q753924,Pacaya,Point(-90.601111111 14.380833333)
http://www.wikidata.org/entity/Q989650,Mount Algidus,Point(12.7786 41.7267)
http://www.wikidata.org/entity/Q794264,Volcán Azufral,Point(-77.718758333 1.085263888)
http://www.wikidata.org/entity/Q829207,Berutarube,Point(146.93163 44.46131)
http://www.wikidata.org/entity/Q747135,Grodczyn,Point(16.333344444 50.4142)
http://www.wikidata.org/entity/Q805832,Baluan Island,Point(147.283333333 -2.55)
http://www.wikidata.org/entity/Q634065,Lastarria,Point(-68.5 -25.166666666)
http://www.wikidata.org/entity/Q886940,Bláhnjúkur,Point(-19.0681 63.9768)
http://www.wikidata.org/entity/Q717453,Mount Tateshina,Point(138.29586 36.10421)
http://www.wikidata.org/entity/Q1034530,Capelinhos,Point(-28.831569444 38.601322222)
http://www.wikidata.org/entity/Q598893,Gunung Merbabu,Point(110.44 -7.455)
http://www.wikidata.org/entity/Q1020272,Búrfell,Point(-19.82777778 64.08694444)
http://www.wikidata.org/entity/Q713826,Mount Chōkai,Point(140.048888888 39.099166666)
http://www.wikidata.org/entity/Q1026302,Calbuco,Point(-72.611111111 -41.332777777)
http://www.wikidata.org/entity/Q895530,Taufstein,Point(9.23889 50.5172)
http://www.wikidata.org/entity/Q937424,Mentolat,Point(-73.075833333 -44.696666666)
http://www.wikidata.org/entity/Q797800,Babuyan Claro,Point(121.94 19.523333333)
http://www.wikidata.org/entity/Q757314,Atlasov Island,Point(155.559444444 50.859722222)
http://www.wikidata.org/entity/Q717453,Mount Tateshina,Point(138.295 36.103611111)
http://www.wikidata.org/entity/Q568090,Puy Griou,Point(2.70611 45.0803)
http://www.wikidata.org/entity/Q614531,Antsiferov Island,Point(154.981388888 50.200555555)
http://www.wikidata.org/entity/Q1048209,Floreana Island,Point(-90.434166666 -1.2975)
http://www.wikidata.org/entity/Q841189,El Chichón,Point(-93.227777777 17.36)
http://www.wikidata.org/entity/Q1047509,Mount Bental,Point(35.7856 33.1281)
http://www.wikidata.org/entity/Q713847,Mount Kaimon,Point(130.528333333 31.18)
http://www.wikidata.org/entity/Q858808,Osorno,Point(-72.493055555 -41.1)
http://www.wikidata.org/entity/Q931485,Taapaca,Point(-69.5075 -18.112777777)
http://www.wikidata.org/entity/Q578799,Malinche,Point(-98.03194444 19.23083333)
http://www.wikidata.org/entity/Q999791,Buckle Island,Point(163.25 -66.783333333)
http://www.wikidata.org/entity/Q538601,Terevaka,Point(-109.379444444 -27.084444444)
http://www.wikidata.org/entity/Q701516,Kaiserstuhl,Point(7.666666666 48.083333333)
http://www.wikidata.org/entity/Q828701,Beru,Point(39.753 8.9495)
http://www.wikidata.org/entity/Q752994,Krafla,Point(-16.783333333 65.733333333)
http://www.wikidata.org/entity/Q913722,Bridgeman Island,Point(-56.733333333 -62.066666666)
http://www.wikidata.org/entity/Q757314,Atlasov Island,Point(155.566666666 50.866666666)
http://www.wikidata.org/entity/Q607196,San Cristóbal Volcano,Point(-87.0 12.7)
http://www.wikidata.org/entity/Q849364,Tunupa volcano,Point(-67.64 -19.83)
http://www.wikidata.org/entity/Q928681,Mount Pico,Point(-28.40095 38.467271)
http://www.wikidata.org/entity/Q524954,Mount Taftan,Point(61.133333333 28.6)
http://www.wikidata.org/entity/Q575891,Momotombo,Point(-86.538577 12.424312)
http://www.wikidata.org/entity/Q590920,Cerro Bravo,Point(-75.292222222 5.089166666)
http://www.wikidata.org/entity/Q874092,Ciomadul,Point(25.88 46.13)
http://www.wikidata.org/entity/Q587915,Makian,Point(127.366666666 0.333333333)
http://www.wikidata.org/entity/Q776480,Krýsuvík,Point(-22.063 63.875)
http://www.wikidata.org/entity/Q577700,Puyehue-Cordón Caulle,Point(-72.117222222 -40.590277777)
http://www.wikidata.org/entity/Q830883,Hochkelberg,Point(6.953147222 50.273908333)
http://www.wikidata.org/entity/Q863350,Bilstein,Point(9.20295 50.4958)
http://www.wikidata.org/entity/Q943045,Tupungatito,Point(-69.798055555 -33.423888888)
http://www.wikidata.org/entity/Q1028902,Camiguin de Babuyanes,Point(121.86 18.83333333)
http://www.wikidata.org/entity/Q937167,Rano Raraku,Point(-109.43524 -27.18632)
http://www.wikidata.org/entity/Q835770,Fremrinámar,Point(-16.645963 65.429733)
http://www.wikidata.org/entity/Q928681,Mount Pico,Point(-28.399166666 38.468611111)
http://www.wikidata.org/entity/Q758574,Aucanquilcha,Point(-68.466666666 -21.216666666)
http://www.wikidata.org/entity/Q547770,Tyatya,Point(146.250833333 44.353888888)
http://www.wikidata.org/entity/Q851232,Mount Chiginagak,Point(-156.991388888 57.133611111)
http://www.wikidata.org/entity/Q805915,Bam,Point(144.816666666 -3.616666666)
http://www.wikidata.org/entity/Q556594,Ankaratra,Point(47.243341666 -19.349777777)
http://www.wikidata.org/entity/Q704869,Arshan,Point(120.7 47.5)
http://www.wikidata.org/entity/Q639993,Ardoukoba,Point(42.495833333 11.571944444)
http://www.wikidata.org/entity/Q829207,Berutarube,Point(146.927222222 44.475)
http://www.wikidata.org/entity/Q3332046,Mælifellshnjúkur,Point(-19.3525 65.3896)
http://www.wikidata.org/entity/Q3322217,Mont de la Dives,Point(77.55 -37.848)
http://www.wikidata.org/entity/Q2788686,Montaña Quemada,Point(-17.84042 28.62497)
http://www.wikidata.org/entity/Q3132346,Mocho-Choshuenco,Point(-72.0375 -39.909722222)
http://www.wikidata.org/entity/Q2946773,Cerro Singüil,Point(-89.6315 14.053)
http://www.wikidata.org/entity/Q2868734,Ata volcano,Point(-68.5762 -27.1819)
http://www.wikidata.org/entity/Q3132195,Taburete,Point(-88.532 13.435)
http://www.wikidata.org/entity/Q3411049,Putana,Point(-67.852834 -22.557302)
http://www.wikidata.org/entity/Q2974420,Citerne,Point(-61.657 16.0334)
http://www.wikidata.org/entity/Q2943430,Cayutue-La Vigueria,Point(-72.27 -41.25)
http://www.wikidata.org/entity/Q2903945,Hermonit Mountain,Point(35.793611111 33.185277777)
http://www.wikidata.org/entity/Q3125067,Sumaco,Point(-77.6266 -0.5404)
http://www.wikidata.org/entity/Q3322034,Mount Pierre,Point(50.432 -45.952)
http://www.wikidata.org/entity/Q3322052,Mount Redon,Point(3.0338 45.6681)
http://www.wikidata.org/entity/Q2742687,San Pedro,Point(-68.391388888 -21.887777777)
http://www.wikidata.org/entity/Q3114564,Grand Sarcoui,Point(2.9822 45.8145)
http://www.wikidata.org/entity/Q3195608,Ketildyngja,Point(-16.64561 65.43076)
http://www.wikidata.org/entity/Q3087410,Linzor,Point(-67.966666666 -22.15)
http://www.wikidata.org/entity/Q2904267,Mount Teon,Point(35.863888888 32.959444444)
http://www.wikidata.org/entity/Q3322220,Mont des Manchots,Point(50.402 -46.4195)
http://www.wikidata.org/entity/Q3116465,Cerro Macá,Point(-73.169166666 -45.105833333)
http://www.wikidata.org/entity/Q3125067,Sumaco,Point(-77.62583333 -0.53805556)
http://www.wikidata.org/entity/Q3087410,Linzor,Point(-67.96667 -22.15)
http://www.wikidata.org/entity/Q2729027,Bolshaya Ipelka,Point(156.9725 52.663333333)
http://www.wikidata.org/entity/Q3198640,Kone,Point(39.692 8.8)
http://www.wikidata.org/entity/Q3411084,Puy de Chalard,Point(2.97427 45.9589)
http://www.wikidata.org/entity/Q2861446,Q2861446,Point(-67.9875 -24.416944)
http://www.wikidata.org/entity/Q3116451,Pular,Point(-68.0665 -24.2005)
http://www.wikidata.org/entity/Q3372707,Platanar,Point(-84.3660879 10.3000174)
http://www.wikidata.org/entity/Q3229393,Puy de Lemptégy,Point(2.947 45.8181)
http://www.wikidata.org/entity/Q2827325,Aguas Calientes,Point(-67.685 -23.368333333)
http://www.wikidata.org/entity/Q2882838,Banne d'Ordanche,Point(2.77278 45.6108)
http://www.wikidata.org/entity/Q3077985,Fort Portal,Point(30.25 0.7)
http://www.wikidata.org/entity/Q3276924,Mount Yake,Point(137.58824 36.22887)
http://www.wikidata.org/entity/Q3411087,Puy de Côme,Point(2.94332 45.7965)
http://www.wikidata.org/entity/Q3290107,Mount Manengouba,Point(9.842 5.022)
http://www.wikidata.org/entity/Q3156114,Yakeyama,Point(147.873611111 45.0125)
http://www.wikidata.org/entity/Q3411078,Puy Pariou,Point(2.971484 45.796824)
http://www.wikidata.org/entity/Q3100052,Gedamsa,Point(39.18034 8.35554)
http://www.wikidata.org/entity/Q3006369,Crête de la Novara,Point(77.52224 -38.71341)
http://www.wikidata.org/entity/Q2786660,Malang Plain,Point(112.68 -8.02)
http://www.wikidata.org/entity/Q2901375,Poco Ranaka,Point(120.53095 -8.63664)
http://www.wikidata.org/entity/Q3156114,Yakeyama,Point(147.917 45.0282)
http://www.wikidata.org/entity/Q3133588,Mount Norikura,Point(137.55361111 36.10638889)
http://www.wikidata.org/entity/Q2854575,Wayang-Windu,Point(107.63 -7.208)
http://www.wikidata.org/entity/Q3066185,Volcán Huequi,Point(-72.578055555 -42.376666666)
http://www.wikidata.org/entity/Q3321902,Kitumbeine Volcano,Point(36.211 -2.8795)
http://www.wikidata.org/entity/Q3237604,Liado,Point(40.28 9.57)
http://www.wikidata.org/entity/Q3217435,Gunung Muria,Point(110.88333333 -6.61666667)
http://www.wikidata.org/entity/Q3033707,Dofan,Point(40.13194444 9.34444444)
http://www.wikidata.org/entity/Q3138897,Hobicha,Point(37.83 6.78)
http://www.wikidata.org/entity/Q2933737,Q2933737,Point(-71.0 -37.85)
http://www.wikidata.org/entity/Q3116456,Tinguiririca Volcano,Point(-70.351944444 -34.813611111)
http://www.wikidata.org/entity/Q3200888,Kyatwa,Point(30.25 0.45)
http://www.wikidata.org/entity/Q3132346,Mocho-Choshuenco,Point(-72.02808 -39.91816)
http://www.wikidata.org/entity/Q2740999,Talamau Mount,Point(99.983333333 0.079166666)
http://www.wikidata.org/entity/Q2948571,Geysir geothermal field,Point(-20.2999 64.3167)
